epoch_in_phase,train_bd,train_full,test_full,test_step
1,0.10530285662971436,0.3542184755206108,0.37391987442970276,0.31507058814167976
2,0.10542455551913008,0.35207872092723846,0.37400543689727783,0.3145475424826145
3,0.10505458831321449,0.34921006858348846,0.37234294414520264,0.3136403404176235
4,0.1050671320175752,0.35249384865164757,0.3777143955230713,0.31806501261889936
5,0.10492448480799794,0.3526311554014683,0.37411820888519287,0.3150043532252312
6,0.10496655695606023,0.3496921770274639,0.37345296144485474,0.31424992680549624
7,0.10502667175605893,0.3514764718711376,0.3751620650291443,0.3155508108437061
8,0.10467662492301315,0.34980522841215134,0.37354183197021484,0.3144440114498138
9,0.10486334634479136,0.35342079773545265,0.377713680267334,0.3181427139788866
10,0.10481998943723739,0.3524879887700081,0.373065710067749,0.31381945461034777
11,0.10477721024071798,0.35076170414686203,0.3735610246658325,0.31431273855268954
12,0.1046270007500425,0.35223181545734406,0.37865710258483887,0.31885276883840563
13,0.10450494440738112,0.3571518324315548,0.38001835346221924,0.31964951306581496
14,0.10446399669162929,0.3515630252659321,0.3724890947341919,0.3132318940013647
15,0.10458837749902158,0.34823720157146454,0.3780471086502075,0.31791252419352534
16,0.10480188298970461,0.3586811125278473,0.3829699754714966,0.3223410189151764
17,0.10467093028128147,0.35327787324786186,0.37115341424942017,0.31231861263513566
18,0.1043937309179455,0.35208605229854584,0.38278189301490784,0.3220004692673683
19,0.10460298741236329,0.3550475761294365,0.37288469076156616,0.3135294780135155
20,0.10435006914194674,0.35138318315148354,0.3790278434753418,0.3187483411282301
21,0.10414303181460127,0.35650723427534103,0.3818337321281433,0.32122860848903656
22,0.10378423035144806,0.35703444108366966,0.37966641783714294,0.319447485730052
23,0.10394922674167902,0.35284918174147606,0.37638208270072937,0.3167086526751518
24,0.10415957204531878,0.3568398654460907,0.3825886845588684,0.3218141958117485
25,0.10389750488102437,0.35516538098454475,0.37690794467926025,0.31706840321421625
26,0.10380537607707083,0.35257335379719734,0.37855425477027893,0.3183147288858891
27,0.10363980806432664,0.3560306653380394,0.3816356658935547,0.32073861062526704
28,0.10391445383429528,0.3601778410375118,0.3847483992576599,0.3235656160861254
29,0.1040260085137561,0.35545147582888603,0.37729090452194214,0.3174508333206177
30,0.10366496094502509,0.3538554906845093,0.3805082440376282,0.3199422646313906
31,0.10370453801006078,0.358986247330904,0.38374364376068115,0.3226792588829994
32,0.10359600738156587,0.357735101133585,0.3792304992675781,0.3187052309513092
33,0.10374743295833469,0.35432904958724976,0.3794149160385132,0.3192805640399456
34,0.1035372476442717,0.3548884205520153,0.3824158310890198,0.3213444449007511
35,0.10359009781386704,0.3612128905951977,0.38637855648994446,0.32482605800032616
36,0.10347934727324173,0.35862166807055473,0.380487859249115,0.3198252461850643
37,0.1035300524905324,0.3566042296588421,0.38103172183036804,0.32063713371753694
38,0.10332027450203896,0.35750337690114975,0.38336533308029175,0.322240274772048
39,0.1034203608520329,0.3572569042444229,0.38110172748565674,0.32050601169466975
40,0.10323376753367483,0.35817352682352066,0.3831390142440796,0.32195832543075087
41,0.10316217050421983,0.35838890448212624,0.38304638862609863,0.32176684103906156
42,0.10317437297198921,0.3578971214592457,0.3818327784538269,0.32094490975141526
43,0.1031290281796828,0.35824765264987946,0.38356542587280273,0.3224287822842598
44,0.10318530958611519,0.35741806775331497,0.3820894956588745,0.3210839558392763
45,0.10312426935415715,0.35877444595098495,0.38496407866477966,0.3235240109264851
46,0.10313573176972568,0.35846659541130066,0.3823012411594391,0.3213565856218338
47,0.10305742779746652,0.35779961198568344,0.3829873502254486,0.32192495092749596
48,0.10307002789340913,0.3583817109465599,0.3836057186126709,0.3223780579864979
49,0.10299860362429172,0.3584234155714512,0.3834691643714905,0.3222797945141792
50,0.10296943441499025,0.3595948591828346,0.38537928462028503,0.3238549116998911
51,0.10309202384669333,0.3614640384912491,0.3863322138786316,0.32489588633179667
52,0.10292342307511718,0.3605794832110405,0.3843602240085602,0.32318232133984565
53,0.10293824425898493,0.3583926521241665,0.38258570432662964,0.321647297218442
54,0.10296466352883726,0.35727935284376144,0.3825906813144684,0.3214187789708376
55,0.10298125627450645,0.35995379462838173,0.38592129945755005,0.32416944317519664
56,0.10291132649872452,0.3609742932021618,0.38595765829086304,0.32438481152057647
57,0.10295222152490169,0.3596747890114784,0.3839958906173706,0.3227386087179184
58,0.10287313917651772,0.3589254543185234,0.38482043147087097,0.32342066057026386
59,0.10280557400546968,0.3598954826593399,0.38453561067581177,0.32318891063332555
60,0.1028298530029133,0.3589833974838257,0.3843829333782196,0.3229833632707596
61,0.10275634394492954,0.3598712235689163,0.38557833433151245,0.32400880567729473
62,0.10274196879472583,0.36060991138219833,0.38575711846351624,0.324072927236557
63,0.10272096307016909,0.3604351840913296,0.38539770245552063,0.3237577687948942
64,0.10272258219774813,0.36007244884967804,0.3853326439857483,0.3237598806619644
65,0.10270882272161544,0.3604571036994457,0.3857899308204651,0.3242098823189735
66,0.1027313104714267,0.35991430655121803,0.38469192385673523,0.32328982949256896
67,0.10269086207263171,0.36021919175982475,0.3862205743789673,0.3245155058801174
68,0.10267797275446355,0.3608131520450115,0.3857714533805847,0.3241546243429184
69,0.10265283130574972,0.3609546050429344,0.3863217830657959,0.3246129661798477
70,0.10272528217174112,0.3605000637471676,0.3856372535228729,0.3240243434906006
71,0.10263672790024429,0.36081041023135185,0.3864825367927551,0.32475102990865706
72,0.10266426710877567,0.3615329638123512,0.38658350706100464,0.32481444627046585
73,0.10260770416352898,0.36134539917111397,0.38633695244789124,0.32461134120821955
74,0.10262188110500574,0.3610408492386341,0.386136531829834,0.3244677983224392
75,0.1026074955239892,0.36132020130753517,0.38670164346694946,0.3249052412807941
76,0.10259112837957218,0.3609704189002514,0.38555464148521423,0.3239493537694216
77,0.10265867455163971,0.3598385378718376,0.3848635256290436,0.32340540513396265
78,0.1025806940975599,0.3602766618132591,0.38611769676208496,0.3243845500051975
79,0.1025620533619076,0.36138201877474785,0.3871465027332306,0.32524468973278997
80,0.10260273620951921,0.36202478781342506,0.38685476779937744,0.3250554405152798
81,0.10254099548328668,0.3618161380290985,0.38697099685668945,0.32513290755450724
82,0.10251612099818885,0.36155717447400093,0.3864884376525879,0.32471308410167693
83,0.10252957823686301,0.36140239238739014,0.38656413555145264,0.32480009384453296
84,0.10257540645543486,0.3608446344733238,0.3857090473175049,0.3240721054375172
85,0.10252819259185345,0.3609528951346874,0.3864816129207611,0.324686024338007
86,0.10250918669626116,0.36138566210865974,0.38651344180107117,0.3247475974261761
87,0.10249103289097547,0.36143310368061066,0.38666483759880066,0.32486617192626
88,0.10250662479083986,0.3611607849597931,0.3860063850879669,0.32430548816919325
89,0.10248744855634868,0.3606894165277481,0.38590991497039795,0.32422833517193794
90,0.10248184214578941,0.3609863258898258,0.3864072561264038,0.3246040344238281
91,0.1024949372280389,0.36151502281427383,0.38688579201698303,0.3249754268676043
92,0.10247415627818554,0.36196015402674675,0.38736462593078613,0.32539729923009875
93,0.10247091178316622,0.3617921210825443,0.38676929473876953,0.3249399956315756
94,0.10246488435659558,0.36147572845220566,0.3866921663284302,0.32490049563348294
95,0.10245333365164697,0.36158664524555206,0.3868601322174072,0.325007551163435
96,0.1024500127416104,0.36134545505046844,0.38653844594955444,0.3247388802468777
97,0.10244650023523719,0.3613714724779129,0.3866954445838928,0.3248824305832386
98,0.10244369646534324,0.361713994294405,0.3869441747665405,0.32505130879580973
99,0.10246757350396365,0.3615221753716469,0.3867741823196411,0.32490796148777007
100,0.10244088140316307,0.36163293197751045,0.3871239721775055,0.325202164798975
