epoch_in_phase,train_bd,train_full,test_full,test_step
1,3.99544295668602,5.353588879108429,5.182307720184326,4.95858154296875
2,3.805661454796791,4.942155718803406,2.522754669189453,2.513726997375488
3,2.755957254767418,4.3031551241874695,2.263913154602051,2.2476797580718992
4,2.2515690818428995,3.8193506002426147,2.0693893432617188,2.054350483417511
5,2.0426490619778632,3.553765147924423,1.816925287246704,1.8054666996002198
6,1.9149824865162373,3.341529220342636,1.609745979309082,1.601480984687805
7,1.8337197080254555,3.143435001373291,1.471025824546814,1.4644014596939088
8,1.7683063477277756,2.9749981462955475,1.381354808807373,1.3755364537239074
9,1.7149176746606827,2.8399769961833954,1.322031021118164,1.3169024467468262
10,1.6736199274659156,2.728620320558548,1.282225251197815,1.2778069138526917
11,1.6412130393087865,2.6387169659137726,1.2567647695541382,1.2529802322387695
12,1.6144898936152459,2.5642360150814056,1.23906409740448,1.235690987110138
13,1.5913269191980361,2.4975203573703766,1.2264554500579834,1.2234429001808167
14,1.5712502606213092,2.434889853000641,1.2164862155914307,1.2137956857681274
15,1.5531837664544583,2.376790851354599,1.2074618339538574,1.2050562977790833
16,1.536703660339117,2.32069331407547,1.196835994720459,1.1946366786956788
17,1.5215646512806416,2.2674460411071777,1.1847809553146362,1.1827004313468934
18,1.5083594180643558,2.2165887355804443,1.1752395629882812,1.173279309272766
19,1.4971105307340622,2.168176144361496,1.1703243255615234,1.1684987425804139
20,1.487849585711956,2.124441295862198,1.1687287092208862,1.1670485138893127
21,1.481373456865549,2.0933100283145905,1.167701244354248,1.166093611717224
22,1.4771454237401485,2.073932260274887,1.1663950681686401,1.1648287892341613
23,1.4726957991719245,2.05489943921566,1.1647251844406128,1.1631876468658446
24,1.4684686928987503,2.0357539653778076,1.1640303134918213,1.1625191807746886
25,1.4644701175391674,2.0167794823646545,1.163909912109375,1.1624224066734314
26,1.4608481384813785,1.9977632015943527,1.1635538339614868,1.162095069885254
27,1.45732975974679,1.9791390746831894,1.1641840934753418,1.1627491474151612
28,1.4538164630532264,1.9606271088123322,1.1653668880462646,1.1639588236808778
29,1.4506033949553967,1.94268698990345,1.1671892404556274,1.1658166646957397
30,1.4476166769862175,1.9264737367630005,1.1686036586761475,1.1672515749931336
31,1.4444969765841962,1.9117144346237183,1.1697990894317627,1.1684650421142577
32,1.4413306184113026,1.89787058532238,1.1704092025756836,1.1690840601921082
33,1.4380977779626847,1.883542314171791,1.1729841232299805,1.1716741800308228
