epoch_in_phase,loss_boundary,loss_full
1,0.0,1.0762741565704346
2,0.0,0.9587156176567078
3,0.0,0.8663373589515686
4,0.0,0.7923993468284607
5,0.0,0.7304015755653381
6,0.0,0.6771191358566284
7,0.0,0.6303592920303345
8,0.0,0.5873531103134155
9,0.0,0.5468785166740417
10,0.0,0.5089766979217529
11,0.0,0.47329214215278625
12,0.0,0.43908435106277466
13,0.0,0.40614956617355347
14,0.0,0.3747372627258301
15,0.0,0.3445796072483063
16,0.0,0.315379798412323
17,0.0,0.2873007655143738
18,0.0,0.2604755163192749
19,0.0,0.23466667532920837
20,0.0,0.20979663729667664
21,0.0,0.18590588867664337
22,0.0,0.1739668995141983
23,0.0,0.16170376539230347
24,0.0,0.14933909475803375
25,0.0,0.13716097176074982
26,0.0,0.12539038062095642
27,0.0,0.11402954161167145
28,0.0,0.10304245352745056
29,0.0,0.09241445362567902
30,0.0,0.08227786421775818
31,0.0,0.07287284731864929
32,0.0,0.06448298692703247
33,0.0,0.057275574654340744
34,0.0,0.051389023661613464
35,0.0,0.04698232561349869
36,0.0,0.04424702748656273
37,0.0,0.042197950184345245
38,0.0,0.040941692888736725
39,0.0,0.03895888105034828
40,0.0,0.03697497397661209
41,0.0,0.03428681567311287
42,0.0,0.0326060950756073
43,0.0,0.030742181465029716
44,0.0,0.028860781341791153
45,0.0,0.027170836925506592
46,0.0,0.02559238113462925
47,0.0,0.024393610656261444
48,0.0,0.023582225665450096
49,0.0,0.022564571350812912
50,0.0,0.021594354882836342
51,0.0,0.0206318236887455
52,0.0,0.01979305036365986
53,0.0,0.01883288100361824
54,0.0,0.018244655802845955
55,0.0,0.01753629930317402
56,0.0,0.01728268899023533
57,0.0,0.01696404628455639
58,0.0,0.016219479963183403
59,0.0,0.015959233045578003
60,0.0,0.015366412699222565
61,0.0,0.014948314055800438
62,0.0,0.014680039137601852
63,0.0,0.014266857877373695
64,0.0,0.0139798354357481
65,0.0,0.01372445747256279
66,0.0,0.013412709347903728
67,0.0,0.01321440376341343
68,0.0,0.013084838166832924
69,0.0,0.012813949957489967
70,0.0,0.012573991902172565
71,0.0,0.012455004267394543
72,0.0,0.01225669402629137
73,0.0,0.012057940475642681
74,0.0,0.011919110082089901
75,0.0,0.011670359410345554
76,0.0,0.011483701877295971
77,0.0,0.011310801841318607
78,0.0,0.011124640703201294
79,0.0,0.011015833355486393
80,0.0,0.010831404477357864
81,0.0,0.010673888958990574
82,0.0,0.010569046251475811
83,0.0,0.010478033684194088
84,0.0,0.010449034161865711
85,0.0,0.010347560979425907
86,0.0,0.010238868184387684
87,0.0,0.01017671637237072
88,0.0,0.010093816556036472
89,0.0,0.010007238015532494
90,0.0,0.009943177923560143
91,0.0,0.009857535362243652
92,0.0,0.009789166040718555
93,0.0,0.00969840306788683
94,0.0,0.009601539000868797
95,0.0,0.009531371295452118
96,0.0,0.009450921788811684
97,0.0,0.009373120032250881
98,0.0,0.009281727485358715
99,0.0,0.009173786267638206
100,0.0,0.009121451526880264
101,0.0,0.009023859165608883
102,0.0,0.008969190530478954
103,0.0,0.00891728512942791
104,0.0,0.008868270553648472
105,0.0,0.008823884651064873
106,0.0,0.008778565563261509
107,0.0,0.00873009953647852
108,0.0,0.008680447936058044
109,0.0,0.008622839115560055
110,0.0,0.008564640767872334
111,0.0,0.008517739363014698
112,0.0,0.008482222445309162
113,0.0,0.008438273333013058
114,0.0,0.008382321335375309
115,0.0,0.008325423114001751
116,0.0,0.008283521048724651
117,0.0,0.008241754025220871
118,0.0,0.008196260780096054
119,0.0,0.008140290156006813
120,0.0,0.008103055879473686
121,0.0,0.008054211735725403
122,0.0,0.008017713204026222
123,0.0,0.007991130463778973
124,0.0,0.007971023209393024
125,0.0,0.007945501245558262
126,0.0,0.007920010946691036
127,0.0,0.007889214903116226
128,0.0,0.007855252362787724
129,0.0,0.007825419306755066
130,0.0,0.00780544662848115
131,0.0,0.0077798147685825825
132,0.0,0.007745878770947456
133,0.0,0.0077112517319619656
134,0.0,0.007681700866669416
135,0.0,0.0076475590467453
136,0.0,0.007617820054292679
137,0.0,0.007587178610265255
138,0.0,0.007551649585366249
139,0.0,0.007512114010751247
140,0.0,0.007484943140298128
141,0.0,0.00745006650686264
142,0.0,0.007432303391396999
143,0.0,0.007416008971631527
144,0.0,0.0073958695866167545
145,0.0,0.007373962551355362
146,0.0,0.007356780115514994
147,0.0,0.007338104769587517
148,0.0,0.007321522105485201
149,0.0,0.007300620898604393
150,0.0,0.007277076598256826
151,0.0,0.007255894131958485
152,0.0,0.007237982004880905
153,0.0,0.007219952065497637
154,0.0,0.007199770305305719
155,0.0,0.00718295481055975
156,0.0,0.007163937669247389
157,0.0,0.007142418064177036
158,0.0,0.007122881710529327
159,0.0,0.007105736993253231
160,0.0,0.007088274694979191
161,0.0,0.00706876628100872
162,0.0,0.00705766212195158
163,0.0,0.007049066945910454
164,0.0,0.007039396092295647
165,0.0,0.007030374836176634
166,0.0,0.007019890937954187
167,0.0,0.007011510897427797
168,0.0,0.007002450525760651
169,0.0,0.006993029732257128
170,0.0,0.0069834208115935326
171,0.0,0.006973961368203163
172,0.0,0.006963790860027075
173,0.0,0.006954153999686241
174,0.0,0.006945509929209948
175,0.0,0.006936346180737019
176,0.0,0.0069275000132620335
177,0.0,0.006917786318808794
178,0.0,0.006907918024808168
179,0.0,0.006897917483001947
180,0.0,0.0068880473263561726
181,0.0,0.006879102438688278
182,0.0,0.0068745301105082035
183,0.0,0.006872099358588457
184,0.0,0.006866722833365202
185,0.0,0.006861618719995022
186,0.0,0.006858707871288061
187,0.0,0.006854645442217588
188,0.0,0.006850329227745533
189,0.0,0.006846435368061066
190,0.0,0.006841333582997322
191,0.0,0.006837273482233286
192,0.0,0.006832700688391924
193,0.0,0.0068277157843112946
194,0.0,0.006821947637945414
195,0.0,0.006817909423261881
196,0.0,0.0068139685317873955
197,0.0,0.00680982880294323
198,0.0,0.006805650424212217
199,0.0,0.0068016089498996735
200,0.0,0.006796583533287048
201,0.0,0.0067924256436526775
202,0.0,0.006790574640035629
203,0.0,0.006787988822907209
204,0.0,0.006785559467971325
205,0.0,0.006784738041460514
206,0.0,0.006781773641705513
207,0.0,0.0067788646556437016
208,0.0,0.006776880938559771
209,0.0,0.00677472073584795
210,0.0,0.006772297900170088
211,0.0,0.006771070417016745
212,0.0,0.006768679711967707
213,0.0,0.006765838712453842
214,0.0,0.006764246616512537
215,0.0,0.006761833559721708
216,0.0,0.006758886389434338
217,0.0,0.006756915245205164
218,0.0,0.006756424903869629
219,0.0,0.006754947826266289
220,0.0,0.006752852350473404
221,0.0,0.006750084459781647
222,0.0,0.00674954941496253
223,0.0,0.006748635321855545
224,0.0,0.006746610160917044
225,0.0,0.006745760329067707
226,0.0,0.006744961719959974
227,0.0,0.006744398735463619
228,0.0,0.0067438893020153046
229,0.0,0.006743087433278561
230,0.0,0.00674148416146636
231,0.0,0.006740240380167961
232,0.0,0.006738847121596336
233,0.0,0.006737877149134874
234,0.0,0.006736424285918474
235,0.0,0.00673535605892539
236,0.0,0.006734024733304977
237,0.0,0.006733071990311146
238,0.0,0.006732376758009195
239,0.0,0.006732230074703693
240,0.0,0.00673121539875865
241,0.0,0.006730318535119295
242,0.0,0.006729878950864077
243,0.0,0.006729247979819775
244,0.0,0.006728339474648237
245,0.0,0.006728337612003088
246,0.0,0.0067276377230882645
247,0.0,0.006726707797497511
248,0.0,0.006727173458784819
249,0.0,0.006726161576807499
250,0.0,0.006724800914525986
