stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,conv1.fc0.weight,0.9,0.999,0.01,1e-08,0.00851956382393837,0.16360081732273102,0.011651803739368916,6.580618428183175,0.002253330772848297,58.54238530911038,1775828601.9266157
full_loss_1,full_loss_2,conv1.fc0.bias,0.9,0.999,0.01,1e-08,3.9547298769093686e-08,4.697531039710157e-06,1.553562469780445e-07,2.291014393246448,0.0010463481871103909,290.21738569013684,1775828601.926738
full_loss_1,full_loss_2,conv1.conv0.weights1,0.9,0.999,0.01,1e-08,1.966813942999579e-05,0.0023785021621733904,4.89648045913782e-05,3.615111971385646,0.0006513249740102269,332.67442278033553,1775828601.9341092
full_loss_1,full_loss_2,conv1.conv1.weights1,0.9,0.999,0.01,1e-08,4.0493869164492935e-05,0.0017947996966540813,0.00011918270320165902,3.0578667007235385,0.0021009441117971917,117.29714371901392,1775828601.941144
full_loss_1,full_loss_2,conv1.conv2.weights1,0.9,0.999,0.01,1e-08,5.7605779147706926e-05,0.0017536336090415716,0.00018577935406938195,2.79068689917531,0.00335178261393892,78.7056744393568,1775828601.94845
full_loss_1,full_loss_2,conv1.conv3.weights1,0.9,0.999,0.01,1e-08,6.898064020788297e-05,0.001809040317311883,0.0002553730155341327,2.4310546599506075,0.004466260133251874,65.25716317210204,1775828601.9559324
full_loss_1,full_loss_2,conv1.w0.weight,0.9,0.999,0.01,1e-08,0.0012481187004595995,0.05344080924987793,0.0025804108008742332,4.353209301393976,0.001527682419926212,122.27922712867517,1775828601.9563823
full_loss_1,full_loss_2,conv1.w0.bias,0.9,0.999,0.01,1e-08,2.030636214733761e-10,2.9797567435707606e-07,4.2928149923682213e-10,4.247388271403484,4.5580297888348714e-05,3660.2432853946643,1775828601.9565842
full_loss_1,full_loss_2,conv1.w1.weight,0.9,0.999,0.01,1e-08,0.0023150884080678225,0.08938933163881302,0.005720172077417374,3.642512041066978,0.002024606652256145,106.3913443105278,1775828601.9569218
full_loss_1,full_loss_2,conv1.w1.bias,0.9,0.999,0.01,1e-08,2.9072630414184175e-10,3.1894728635961656e-07,7.566995918750763e-10,3.4532640182653958,7.506206060429859e-05,2732.3628211186847,1775828601.957077
full_loss_1,full_loss_2,conv1.w2.weight,0.9,0.999,0.01,1e-08,0.0021469781640917063,0.07484323531389236,0.007140755653381348,2.705988611299069,0.0030186229904882868,89.389609278357,1775828601.9573805
full_loss_1,full_loss_2,conv1.w2.bias,0.9,0.999,0.01,1e-08,3.170299855970171e-10,2.942095704838721e-07,7.8580342233181e-10,3.626407549063604,8.450315026289439e-05,2351.039872344354,1775828601.9574997
full_loss_1,full_loss_2,conv1.w3.weight,0.9,0.999,0.01,1e-08,0.003035810776054859,0.09182523190975189,0.011674418114125729,2.3403562143362118,0.0040224482487740505,74.42464106668457,1775828601.9577818
full_loss_1,full_loss_2,conv1.w3.bias,0.9,0.999,0.01,1e-08,4.897230398981378e-10,3.982800933499675e-07,1.4842953532934189e-09,2.9674282285407125,0.0001179092543900728,2027.7644454840008,1775828601.9578917
full_loss_1,full_loss_2,conv1.bn0.weight,0.9,0.999,0.01,1e-08,0.008930031210184097,0.11963969469070435,0.024212202057242393,3.319412282217305,0.006402893074528554,36.157557910424416,1775828601.9580164
full_loss_1,full_loss_2,conv1.bn0.bias,0.9,0.999,0.01,1e-08,0.007265439722687006,0.0882626548409462,0.01756232976913452,3.7232507508986505,0.006295386481884276,33.63075358081456,1775828601.9581544
