epoch_in_phase,epoch,loss_full
127,128,0.004833478946238756
128,129,0.004807718563824892
129,130,0.004813252482563257
130,131,0.004797161091119051
131,132,0.004708979278802872
132,133,0.004695385228842497
133,134,0.0047061932273209095
134,135,0.004642711486667395
135,136,0.004611118696630001
136,137,0.004613575525581837
137,138,0.004565785638988018
138,139,0.004554188344627619
139,140,0.004509940277785063
140,141,0.004461997654289007
141,142,0.004445671569555998
142,143,0.004431694280356169
143,144,0.004423703067004681
144,145,0.004403133876621723
145,146,0.004385135602205992
146,147,0.004352324176579714
147,148,0.004338828846812248
148,149,0.004333661403506994
149,150,0.0043155355378985405
150,151,0.004287490621209145
151,152,0.0042578126303851604
152,153,0.004245762713253498
153,154,0.004231029190123081
154,155,0.004211239982396364
155,156,0.004189602565020323
156,157,0.004171326290816069
157,158,0.004146138671785593
158,159,0.004120212513953447
159,160,0.00413768133148551
160,161,0.004114841111004353
161,162,0.004087074194103479
162,163,0.004068824462592602
163,164,0.004054530058056116
164,165,0.004047864582389593
165,166,0.004043802618980408
166,167,0.004035038407891989
167,168,0.004031313117593527
168,169,0.00402031559497118
169,170,0.004004878923296928
170,171,0.003990031313151121
171,172,0.00398123636841774
172,173,0.0039732931181788445
173,174,0.003963090479373932
174,175,0.00395079655572772
175,176,0.00394028564915061
176,177,0.003926536533981562
177,178,0.003910555504262447
178,179,0.003897575195878744
179,180,0.003892596112564206
180,181,0.003885657759383321
181,182,0.003876552451401949
182,183,0.003863372839987278
183,184,0.00385473039932549
184,185,0.003849448636174202
185,186,0.0038488064892590046
186,187,0.0038428702391684055
187,188,0.0038319206796586514
188,189,0.0038231282960623503
189,190,0.0038153775967657566
190,191,0.003811085596680641
191,192,0.003804247360676527
192,193,0.0037953632418066263
193,194,0.0037872453685849905
194,195,0.0037798630073666573
195,196,0.003772895084694028
196,197,0.0037638042122125626
197,198,0.003754968522116542
198,199,0.0037482823245227337
199,200,0.0037411684170365334
200,201,0.0037324896547943354
201,202,0.0037282085977494717
202,203,0.0037232080940157175
203,204,0.003719075582921505
204,205,0.003715623402968049
205,206,0.0037119199987500906
206,207,0.0037082817871123552
207,208,0.003704404691234231
208,209,0.0036996789276599884
209,210,0.0036950851790606976
210,211,0.0036913740914314985
211,212,0.0036880059633404016
212,213,0.0036842075642198324
213,214,0.003680231049656868
214,215,0.003676053136587143
215,216,0.0036716631148010492
216,217,0.0036677999887615442
217,218,0.003663712879642844
218,219,0.003660165471956134
219,220,0.0036563067696988583
220,221,0.0036525537725538015
221,222,0.0036505714524537325
222,223,0.0036483202129602432
223,224,0.003646131604909897
224,225,0.003644373035058379
225,226,0.0036424880381673574
226,227,0.003640613751485944
227,228,0.003638948779553175
228,229,0.003637016285210848
229,230,0.003635128727182746
230,231,0.0036334211472421885
231,232,0.003631196916103363
232,233,0.0036291214637458324
233,234,0.0036269386764615774
234,235,0.003625718876719475
235,236,0.0036236331798136234
236,237,0.0036219044122844934
237,238,0.0036199719179421663
238,239,0.003618216374889016
239,240,0.0036164706107228994
240,241,0.003614759538322687
241,242,0.0036136594135314226
242,243,0.003612879430875182
243,244,0.0036119266878813505
244,245,0.0036106668412685394
245,246,0.003609665669500828
246,247,0.003608351806178689
247,248,0.0036074582021683455
248,249,0.003606401616707444
249,250,0.0036056777462363243
