epoch_in_phase,epoch,loss_full
0,1,1.0762741565704346
1,2,0.7235515713691711
2,3,0.41010400652885437
3,4,0.2229076772928238
4,5,0.20814892649650574
5,6,0.17799468338489532
6,7,0.130045548081398
7,8,0.128951758146286
8,9,0.12642192840576172
9,10,0.10404881089925766
10,11,0.09910320490598679
11,12,0.09500308334827423
12,13,0.08960312604904175
13,14,0.08200252801179886
14,15,0.07329154014587402
15,16,0.06793256103992462
16,17,0.06105724722146988
17,18,0.05946222320199013
18,19,0.060464680194854736
19,20,0.05187996104359627
20,21,0.04580672085285187
21,22,0.03842394798994064
22,23,0.03768346086144447
23,24,0.037235941737890244
24,25,0.0355464406311512
25,26,0.03397813066840172
26,27,0.031116828322410583
27,28,0.02906373143196106
28,29,0.02797592803835869
29,30,0.025285152718424797
30,31,0.025849012657999992
31,32,0.02274039015173912
32,33,0.023932455107569695
33,34,0.02212125062942505
34,35,0.022065062075853348
35,36,0.020990246906876564
36,37,0.020403293892741203
37,38,0.019990773871541023
38,39,0.020200558006763458
39,40,0.018310552462935448
40,41,0.018223538994789124
41,42,0.01626714877784252
42,43,0.013715247623622417
43,44,0.014862948097288609
44,45,0.014296617358922958
45,46,0.013310607522726059
46,47,0.01377227995544672
47,48,0.012569073587656021
48,49,0.012918110005557537
49,50,0.012684241868555546
50,51,0.011854580603539944
51,52,0.012718794867396355
52,53,0.01111309789121151
53,54,0.012538810260593891
54,55,0.011948936618864536
55,56,0.01123099960386753
56,57,0.013063887134194374
57,58,0.01153025683015585
58,59,0.01380287017673254
59,60,0.01202533207833767
60,61,0.013799016363918781
61,62,0.011974952183663845
62,63,0.008913666009902954
63,64,0.010689989663660526
64,65,0.0092780701816082
65,66,0.009795481339097023
66,67,0.009322954341769218
67,68,0.009313685819506645
68,69,0.00882907398045063
69,70,0.008684851229190826
70,71,0.008269254118204117
71,72,0.008653316646814346
72,73,0.008210054598748684
73,74,0.008855151012539864
74,75,0.008261384442448616
75,76,0.008681131526827812
76,77,0.008304654620587826
77,78,0.008128943853080273
78,79,0.007732302416115999
79,80,0.008167765103280544
80,81,0.007599974516779184
81,82,0.006659544073045254
82,83,0.007115875370800495
83,84,0.007146394345909357
84,85,0.006803296972066164
85,86,0.006678711622953415
86,87,0.00677223177626729
87,88,0.006509352475404739
88,89,0.0066114552319049835
89,90,0.0065725380554795265
90,91,0.006420021876692772
91,92,0.0062964786775410175
92,93,0.006370711140334606
93,94,0.00616688234731555
94,95,0.006225739140063524
95,96,0.006159881595522165
96,97,0.006035911850631237
97,98,0.005930909886956215
98,99,0.0059915874153375626
99,100,0.005822249688208103
100,101,0.005981388036161661
101,102,0.005824076011776924
102,103,0.005580156575888395
103,104,0.005727025214582682
104,105,0.005757756531238556
105,106,0.005572709254920483
106,107,0.005546961911022663
107,108,0.005564431194216013
108,109,0.005465774331241846
109,110,0.005511366296559572
110,111,0.0054354178719222546
111,112,0.005339867901057005
112,113,0.0053374371491372585
113,114,0.005327562335878611
114,115,0.0052672941237688065
115,116,0.005235463846474886
116,117,0.005200960207730532
117,118,0.0050946688279509544
118,119,0.0051697553135454655
119,120,0.005069348029792309
120,121,0.005038393195718527
121,122,0.0049968003295362
122,123,0.0049202474765479565
123,124,0.004962919745594263
124,125,0.004987101070582867
125,126,0.004896799102425575
126,127,0.0048429351300001144
