epoch_in_phase,loss_boundary,loss_full,loss_res
1,0.0031308684789109974,0.6660287380218506,44.03773803710938
2,0.2226323217153549,0.3189932703971863,12.18195161819458
3,0.14013558030128478,0.2574799358844757,7.755977964401245
4,0.1342644140124321,0.2045406848192215,3.9003178119659423
5,0.1433933913707733,0.18759073317050934,2.845175528526306
6,0.1321669615805149,0.18583175539970398,3.077628755569458
7,0.08734365478157997,0.13708938658237457,1.4700813174247742
8,0.08644200265407562,0.11652322113513947,1.3542186737060546
9,0.08377286270260811,0.1290496587753296,1.1871843576431274
10,0.07574920430779457,0.11925788223743439,0.9356134295463562
11,0.07368864566087723,0.11279166489839554,0.8187317550182343
12,0.08408693373203277,0.09260252863168716,0.6151982486248017
13,0.06966847851872444,0.0942811518907547,0.5437483280897141
14,0.0651949968189001,0.09019718319177628,0.4295292764902115
15,0.06552988439798355,0.0961376279592514,0.30274794846773145
16,0.0644632712006569,0.07707090675830841,0.40144168138504027
17,0.05436806902289391,0.08910973370075226,0.2958972856402397
18,0.055377197265625,0.07726786285638809,0.19055021405220032
19,0.05223105065524578,0.0739920362830162,0.23765613436698912
20,0.05309805423021317,0.08404523134231567,0.23257519155740738
21,0.05697525702416897,0.0679774135351181,0.15770133063197136
22,0.0386203482747078,0.06733668595552444,0.13968477696180343
23,0.02687450647354126,0.0692945271730423,0.08993289321660995
24,0.03362650237977505,0.06875679641962051,0.11111651733517647
25,0.035697967559099195,0.06325459480285645,0.09581338316202163
26,0.03284329678863287,0.06486543267965317,0.09207911044359207
27,0.0294607225805521,0.06336747109889984,0.07024181894958019
28,0.03101072199642658,0.0672939270734787,0.07814616784453392
29,0.0275400523096323,0.06087218597531319,0.05317972004413605
30,0.030164900980889798,0.06021137535572052,0.07857472896575927
31,0.026136533915996553,0.06301018595695496,0.0729902781546116
32,0.024796737171709538,0.06519228219985962,0.06035635434091091
33,0.02349719237536192,0.06351238489151001,0.06806053966283798
34,0.024122230336070062,0.05935361236333847,0.049079355970025065
35,0.022244141064584257,0.058426499366760254,0.053712444752454756
36,0.022384038753807546,0.05694955959916115,0.05517539419233799
37,0.022550933249294757,0.057663217186927795,0.03455854374915361
38,0.026278379186987878,0.06177617236971855,0.05757805109024048
39,0.02137972619384527,0.05518385395407677,0.024476100131869315
40,0.02620865236967802,0.058768291026353836,0.04850245155394077
41,0.02751474305987358,0.06007455289363861,0.04709193482995033
42,0.019942476972937585,0.056473132222890854,0.025555190071463584
43,0.01856872849166393,0.05464012548327446,0.026916914246976377
44,0.02019710950553417,0.05664316564798355,0.03878974802792072
45,0.018556579388678072,0.05699784681200981,0.027049370855093003
46,0.016834849305450917,0.056338775902986526,0.02122310474514961
47,0.018915700912475585,0.05633874610066414,0.030392784066498278
48,0.016303286887705326,0.05483909696340561,0.024672362394630908
49,0.013379639200866222,0.05374525859951973,0.021083785593509673
50,0.0156846409663558,0.053102750331163406,0.019955848529934882
51,0.01368629252538085,0.05412830784916878,0.020680135302245616
52,0.01288432041183114,0.05582841858267784,0.018252687714993953
53,0.01205550590530038,0.05584786832332611,0.01462135575711727
54,0.013015881460160018,0.05288181081414223,0.015776065550744532
55,0.012432974576950074,0.051115136593580246,0.015544651728123426
56,0.01287639532238245,0.05257153883576393,0.011776540521532297
57,0.015323017165064812,0.054644063115119934,0.014575724955648184
58,0.01167016290128231,0.05559622123837471,0.012239386700093747
59,0.012215655762702227,0.05545772239565849,0.013514067512005568
60,0.009902048483490944,0.053231026977300644,0.012263604998588562
61,0.011355957575142383,0.05033643916249275,0.013497380819171668
62,0.010177221894264222,0.04998498782515526,0.012949518021196127
63,0.007517247227951884,0.05211573839187622,0.009053412219509482
64,0.009897936042398215,0.05501020699739456,0.01055757524445653
65,0.009577072877436876,0.056527867913246155,0.012953835539519787
66,0.00899343965575099,0.05498751997947693,0.01058452669531107
67,0.008416170161217451,0.05211644992232323,0.00898580471985042
68,0.0077776018995791675,0.04977436736226082,0.010928745241835713
69,0.009145001322031021,0.04973657429218292,0.011692999303340912
70,0.007579219760373235,0.05148123577237129,0.008866698620840907
71,0.007625283487141132,0.053671807050704956,0.00889862673357129
72,0.00845691217109561,0.054576318711042404,0.009749358333647252
73,0.007371444068849087,0.05364625155925751,0.008647167310118675
74,0.007810725923627615,0.05193992331624031,0.008398040104657412
75,0.006670495588332414,0.05097268894314766,0.008454760303720832
76,0.008163297548890114,0.051629502326250076,0.008841669978573918
77,0.005937385885044932,0.052042603492736816,0.007859883271157742
78,0.008028600551187991,0.05195949599146843,0.00830066013149917
79,0.006621186388656497,0.052410393953323364,0.008121179696172477
80,0.00756558901630342,0.053281672298908234,0.008326749643310904
81,0.006676019495353102,0.05281443148851395,0.007746102474629879
82,0.0060651870444417,0.05216085538268089,0.007618134608492255
83,0.005350430961698294,0.0515972301363945,0.00725907520391047
84,0.00551759316585958,0.05172159895300865,0.007392044086009264
85,0.006064538424834609,0.051969483494758606,0.007533974666148424
86,0.005075404280796647,0.05185422673821449,0.006940807495266199
87,0.005156933283433318,0.051578741520643234,0.00712277302518487
88,0.005448556877672673,0.05182094871997833,0.007246944727376104
89,0.0049053541850298645,0.05215098708868027,0.006795227527618408
90,0.0049344440922141075,0.051802076399326324,0.006857437733560801
91,0.0049744016956537965,0.0515177957713604,0.006792580243200064
92,0.004570958111435175,0.05189540237188339,0.006736581679433584
93,0.004747508722357452,0.052178870886564255,0.006724713346920907
94,0.004373207013122738,0.05163451284170151,0.006625011493451893
95,0.004883840447291732,0.05129583552479744,0.0066460193367674945
96,0.0042433258146047596,0.05182560160756111,0.006553646409884095
97,0.004480593977496028,0.05216570571064949,0.006562275066971779
98,0.004374530119821429,0.05171770602464676,0.006485011870972812
99,0.004405009606853127,0.05175888165831566,0.00649203967768699
100,0.003713586158119142,0.05144819617271423,0.00635851826518774
101,0.00401184749789536,0.05143198370933533,0.006391393695957958
102,0.00337659006472677,0.05141662806272507,0.006255710753612221
103,0.004308587429113686,0.05177717283368111,0.006387447519227862
104,0.005032783886417746,0.051910191774368286,0.006507345754653215
105,0.003478941647335887,0.05173143744468689,0.006176626542583108
106,0.004110411857254803,0.0516832061111927,0.006397361704148352
107,0.004226168780587613,0.05169568583369255,0.006372867780737579
108,0.003412159066647291,0.05156666040420532,0.006094242492690682
109,0.0037298012292012574,0.051402896642684937,0.006147680222056806
110,0.0036257193656638264,0.05137277767062187,0.006136218248866498
111,0.003182054660283029,0.05151761323213577,0.0060084914090111855
112,0.0036653383867815137,0.051647040992975235,0.006027908017858863
113,0.0040607530856505035,0.05162481591105461,0.006091124913655222
114,0.003268464864231646,0.05144248530268669,0.0059135037707164885
115,0.003452597325667739,0.05139311030507088,0.0059484753524884585
116,0.003384517435915768,0.051518138498067856,0.005946521065197885
117,0.0033075297251343727,0.051777731627225876,0.0058386984281241896
118,0.0032621129881590604,0.05174493417143822,0.00583528196439147
119,0.0032959183445200324,0.05118407681584358,0.005809010355733335
120,0.0034024818567559125,0.05091860890388489,0.005840670480392873
121,0.003183892392553389,0.051245883107185364,0.005742127262055874
122,0.003169701644219458,0.051425620913505554,0.005717206210829317
123,0.0026068427716381846,0.05153568461537361,0.005668608518317342
124,0.0027951910393312573,0.051538076251745224,0.0056742233457043765
125,0.003072188561782241,0.0514855831861496,0.0056880794698372485
126,0.0025874018319882452,0.05141555145382881,0.005634033191017807
127,0.0026394809014163912,0.051402781158685684,0.005617182538844645
128,0.002609847660642117,0.051450762897729874,0.005612232722342014
129,0.0025006500538438557,0.05147441476583481,0.005600164574570954
130,0.002438644494395703,0.05140838027000427,0.005571228452026844
131,0.0024632703280076385,0.051337551325559616,0.005577691574580967
132,0.002377214143052697,0.0513237901031971,0.0055544224567711355
133,0.002318143122829497,0.051377974450588226,0.005528956139460206
134,0.0023494151886552573,0.051426369696855545,0.005522786802612245
135,0.002223938039969653,0.05135827139019966,0.005494066141545772
136,0.0022636258276179434,0.05128087103366852,0.005486958241090178
137,0.002181984996423125,0.051343176513910294,0.005460290843620897
138,0.0021942739025689662,0.051376041024923325,0.005442318716086447
139,0.0021611533127725126,0.05141193047165871,0.00542312276083976
140,0.002128924790304154,0.05137573555111885,0.005398413119837642
141,0.0021969747031107545,0.05129442736506462,0.005386789562180638
142,0.002079451142344624,0.051283687353134155,0.005366494250483811
143,0.0020288895233534277,0.0513346903026104,0.005353250238113105
144,0.0021373776253312826,0.051375970244407654,0.005350858927704394
145,0.0020650339662097394,0.051369018852710724,0.005330657213926315
146,0.0019712348352186383,0.05132037773728371,0.005313218710944057
147,0.0020172609016299247,0.0512675940990448,0.005301101971417666
148,0.001980595279019326,0.0512513630092144,0.005283993203192949
149,0.0019483039621263742,0.05133243277668953,0.005266328994184733
150,0.001981653447728604,0.05140073597431183,0.005251903971657157
151,0.001891604729462415,0.051341764628887177,0.005229909066110849
152,0.001930842746514827,0.05123110115528107,0.005216970690526068
153,0.0018766104127280413,0.051251862198114395,0.005193997593596578
154,0.0018578702467493713,0.05133317410945892,0.005172927514649928
155,0.0018517496762797236,0.05129654332995415,0.005156469461508095
156,0.001779032836202532,0.05126688629388809,0.005137086845934391
157,0.0018216728407423944,0.05127421393990517,0.005120783438906073
158,0.0017817663669120521,0.051249004900455475,0.005101065407507122
159,0.0017289018142037094,0.05126512423157692,0.005077678407542407
160,0.0018020499031990767,0.051319293677806854,0.005064410879276693
161,0.0017736476322170347,0.05129174515604973,0.005046792794018984
162,0.0016833286499604583,0.051256582140922546,0.005033971532247961
163,0.0016849019099026918,0.051230087876319885,0.005025730142369867
164,0.0016987284994684159,0.05124002322554588,0.005018092761747539
165,0.0016954538063146175,0.051260124891996384,0.005009508063085377
166,0.0016600482806097717,0.051267970353364944,0.0049995031440630555
167,0.0016274976660497487,0.051261600106954575,0.004991028364747763
168,0.0016336173808667808,0.05126423016190529,0.004981785197742283
169,0.001619698159629479,0.0512542799115181,0.004971533874049782
170,0.001604261581087485,0.051221076399087906,0.004962457437068224
171,0.0016053272469434888,0.05122063681483269,0.004951607971452177
172,0.0016011672210879623,0.05125255137681961,0.004939927603118122
173,0.0015836991486139595,0.05128002166748047,0.004929695767350495
174,0.0015669291897211224,0.051267657428979874,0.0049186844378709795
175,0.0015646814194042236,0.05122358351945877,0.004908204614184797
176,0.001556876493850723,0.051199402660131454,0.00489814137108624
177,0.001538141502533108,0.05121126398444176,0.004886563750915229
178,0.0015149042999837547,0.051235381513834,0.0048744140425696966
179,0.0015323721978347748,0.05124668776988983,0.00486227807123214
180,0.0014967495866585524,0.051241446286439896,0.004851455218158662
181,0.0015353195427451282,0.051205914467573166,0.004843000159598887
182,0.0015356356685515492,0.05119546502828598,0.004837745567783713
183,0.0014879312075208873,0.05119459331035614,0.004830623650923372
184,0.0014873782231006772,0.05121099203824997,0.004824294382706285
