epoch_in_phase,train_bd,train_full,test_full,test_step
1,0.06421039161505178,0.5010970458388329,0.42481499910354614,0.35621399953961375
2,0.06287113795988261,0.4522901847958565,0.3909914493560791,0.3282281827181578
3,0.060859416238963605,0.4125174544751644,0.3963162899017334,0.3324943520128727
4,0.05931683011585846,0.4157901778817177,0.3765162229537964,0.31571362167596817
5,0.059041010378859934,0.39731115847826004,0.3341403007507324,0.27939706221222876
6,0.058333326707361265,0.402416717261076,0.3932957053184509,0.3301501777023077
7,0.05872875219793059,0.40668298676609993,0.39860111474990845,0.3356422893702984
8,0.06049818854080513,0.39479801803827286,0.3189322352409363,0.26596902683377266
9,0.06236752298427746,0.4079480953514576,0.3722185492515564,0.3105034474283457
10,0.06121436246903613,0.4367150291800499,0.44091546535491943,0.37244431748986245
11,0.060773376212455335,0.4139929302036762,0.3108467161655426,0.25888265669345856
12,0.05844346025260165,0.3893684111535549,0.368966281414032,0.30879327803850176
13,0.055250918015372005,0.3759167566895485,0.30608054995536804,0.2559474613517523
14,0.05353273007785901,0.3349069729447365,0.2936779260635376,0.24529735520482063
15,0.055101237585768105,0.3667232319712639,0.3288917541503906,0.27443694733083246
16,0.05421623638249003,0.3614659272134304,0.30352097749710083,0.253959871083498
17,0.05422964240424335,0.3283632844686508,0.34323418140411377,0.2872340567409992
18,0.05437227810616605,0.36568533629179,0.3251272439956665,0.2721873678267002
19,0.05291369357146323,0.3290957473218441,0.3060421347618103,0.2561239030212164
20,0.05412154674995691,0.3330765478312969,0.3049852252006531,0.2544505037367344
21,0.05289766254136339,0.3393677808344364,0.30165380239486694,0.25141312032938
22,0.05534629718749784,0.3340885192155838,0.2943606376647949,0.24610611870884896
23,0.051285724173067135,0.33146435394883156,0.3137558102607727,0.26266186833381655
24,0.05191795739810914,0.31529272720217705,0.2719864845275879,0.22671402767300605
25,0.05082255356246605,0.32595860585570335,0.3124537467956543,0.26135861650109293
26,0.05077619696385227,0.3206683024764061,0.2809680700302124,0.234355641156435
27,0.05088881316478364,0.3058306388556957,0.26985669136047363,0.22543088160455227
28,0.050591655483003706,0.31231631711125374,0.2837207019329071,0.23674226328730583
29,0.050462906213942914,0.30439579114317894,0.27514219284057617,0.23000461831688881
30,0.04965790119022131,0.29765307903289795,0.28894004225730896,0.24117464907467365
31,0.05049312782357447,0.3089955486357212,0.2577822208404541,0.21514739245176315
32,0.050040359288686886,0.2874229848384857,0.2673795223236084,0.22295954152941705
33,0.050128476205281915,0.29720504954457283,0.26699697971343994,0.22300442792475222
34,0.05042790853185579,0.3123447597026825,0.28255513310432434,0.235940682515502
35,0.05022370775113814,0.2940119467675686,0.27414005994796753,0.22859739027917386
36,0.049995081999804826,0.2928503789007664,0.2615785002708435,0.21814845986664294
37,0.04921845982316882,0.29787278175354004,0.26636648178100586,0.22209475114941596
38,0.049607309250859544,0.29245979711413383,0.25485050678253174,0.21289100423455237
39,0.05002027286100201,0.2935098484158516,0.29346948862075806,0.24505841359496117
40,0.05040789743070491,0.29431924410164356,0.2789615988731384,0.23248401135206223
41,0.048656257038237526,0.30857762694358826,0.27474695444107056,0.2291934285312891
42,0.048785325465723874,0.2866034433245659,0.26279890537261963,0.21899026595056056
43,0.04845848471159116,0.2852509208023548,0.25382936000823975,0.21198129579424857
44,0.048270809720270334,0.28218626603484154,0.26723986864089966,0.22279411554336548
45,0.04814224157016724,0.28820833563804626,0.25537368655204773,0.21307397745549678
46,0.04813885021721944,0.27450304478406906,0.2571536600589752,0.21444503888487815
47,0.047896739811403674,0.28653984516859055,0.26195716857910156,0.21845108326524496
48,0.047790236730361355,0.28056369721889496,0.2535436153411865,0.21151872351765633
49,0.04766606361372396,0.27058033272624016,0.25391754508018494,0.2118062986060977
50,0.047709275840315965,0.2788764163851738,0.24964354932308197,0.2081557411700487
51,0.04797728778794408,0.2693038806319237,0.2533935606479645,0.21140615753829478
52,0.04759689586353488,0.27537572383880615,0.25009602308273315,0.20842435993254185
53,0.0477596731914673,0.2715012654662132,0.24375148117542267,0.20341184195131062
54,0.04769219801528379,0.2707495093345642,0.2617683410644531,0.21797897573560476
55,0.04783001091564074,0.2779669966548681,0.2420964241027832,0.20182292610406877
56,0.047613050701329485,0.26690033823251724,0.2565361559391022,0.21380095202475785
57,0.04746161612565629,0.27534352615475655,0.24120083451271057,0.20109101310372351
58,0.04767036947305314,0.2631559558212757,0.25009816884994507,0.20831299107521772
59,0.04722620978136547,0.27330468967556953,0.24698546528816223,0.20574253853410482
60,0.04761321971891448,0.2646447569131851,0.251542866230011,0.20947111751884223
61,0.04711938567343168,0.27254751697182655,0.24690717458724976,0.2057366780936718
62,0.04687569182133302,0.2661074846982956,0.245498925447464,0.2045756448060274
63,0.04702902301796712,0.26441865414381027,0.24631458520889282,0.2051644144579768
64,0.04691804740577936,0.2668926976621151,0.247627854347229,0.20630763247609138
65,0.046971008839318526,0.26461612805724144,0.2413519322872162,0.20110575519502163
66,0.04687402162817307,0.2609473131597042,0.24254411458969116,0.20211998503655196
67,0.0471552052826155,0.2664710581302643,0.24489545822143555,0.20397732071578503
68,0.04691907165106386,0.2585343960672617,0.23799964785575867,0.19837750475853683
69,0.04688678598031402,0.26099998876452446,0.24590981006622314,0.2047276273369789
70,0.04678968619555235,0.2690702099353075,0.24550679326057434,0.20441529341042042
71,0.04672689972212538,0.26013053208589554,0.23922154307365417,0.1993561213836074
72,0.046945922693703325,0.2605920173227787,0.24404165148735046,0.20324835740029812
73,0.04684998450684361,0.2614990118891001,0.24311184883117676,0.20231224298477174
74,0.04665388088324107,0.26125710643827915,0.24018928408622742,0.20012714955955743
75,0.04691677952650934,0.2563022803515196,0.23764468729496002,0.19792353473603724
76,0.047005285252816977,0.26208584383130074,0.2444669008255005,0.2034165695309639
77,0.04660622607334517,0.2616385631263256,0.23826943337917328,0.19850057307630778
78,0.046923931781202556,0.2540205642580986,0.2396833598613739,0.19953932967036964
79,0.047440897487103936,0.26572030782699585,0.2491171956062317,0.20721152946352958
80,0.046865240059560165,0.2619833592325449,0.23561647534370422,0.19624894857406616
81,0.04658269200590439,0.25213053077459335,0.2358333021402359,0.19637720361351968
82,0.04645247341832146,0.2590495329350233,0.24442654848098755,0.20332444198429583
83,0.04660470850067213,0.2625208720564842,0.2400044947862625,0.19979194216430188
