phase,tail_mean_test_full,tail_mean_train_bd,tail_mean_train_res,tail_std_test_full,tail_std_train_bd,tail_std_train_res
full_loss_1,0.4321204042434692,0.04142703848580515,0.23026716498037175,0.00311303224156394,0.005611905470843474,0.01927591828904111
full_loss_2,0.07251316159963604,0.03253040864649741,0.05014720126572577,0.0012014252876384895,0.007005907699601039,0.013024673648861992
full_loss_3,0.06161258876323696,0.025180189559857007,0.03729051416222415,0.0009617433195239956,0.002278570713286993,0.00919501843696409
