stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,fc1.weight,0.9,0.999,0.01,1e-08,0.04796261340379715,1.7001242637634277,0.4750169515609741,0.908732876194749,0.00883986634196109,59.26648181874371,1775855659.2683825
full_loss_1,full_loss_2,fc1.bias,0.9,0.999,0.01,1e-08,0.0561557412147522,1.299443244934082,0.5967490673065186,0.8469249448735624,0.014529534113925468,37.2648230986581,1775855659.2685478
full_loss_1,full_loss_2,fc2.weight,0.9,0.999,0.01,1e-08,0.34776756167411804,18.50434112548828,6.199687957763672,0.504849288607675,0.010600185395011875,62.68931604801315,1775855659.268709
full_loss_1,full_loss_2,fc2.bias,0.9,0.999,0.01,1e-08,0.5541638135910034,26.493526458740234,23.726699829101562,0.2102051426554284,0.02833445230565102,29.162596143596183,1775855659.2688625
full_loss_2,full_loss_3,fc0.weight,0.9,0.999,0.01,1e-08,0.0686376616358757,0.3240172863006592,0.05584516376256943,11.06163744703464,0.005452989284857905,15.204042864649818,1775855669.9816687
full_loss_2,full_loss_3,fc0.bias,0.9,0.999,0.01,1e-08,1.0775430382636841e-05,7.163567352108657e-05,7.975101470947266e-05,1.2160205431993347,0.035222819629526586,12.81153929314138,1775855669.9818013
full_loss_2,full_loss_3,conv0.weights1,0.9,0.999,0.01,1e-08,4.903123408439569e-05,0.0007198801031336188,0.00024991363170556724,1.7657344338612029,0.01098365873330002,32.918670896250376,1775855669.989354
full_loss_2,full_loss_3,conv1.weights1,0.9,0.999,0.01,1e-08,0.00012937936116941273,0.0025357906706631184,0.0006898791762068868,1.6878524370587293,0.008607497239647353,43.22326912431305,1775855669.9966176
full_loss_2,full_loss_3,conv2.weights1,0.9,0.999,0.01,1e-08,0.00012171186972409487,0.0037089125253260136,0.0006670868024230003,1.6420753969288997,0.005690533886383914,66.51225937783263,1775855670.0044756
full_loss_2,full_loss_3,conv3.weights1,0.9,0.999,0.01,1e-08,0.00010274191299686208,0.004670234397053719,0.0006105387001298368,1.5145267863619305,0.004136107095510187,96.15057113872668,1775855670.011884
full_loss_2,full_loss_3,w0.weight,0.9,0.999,0.01,1e-08,0.0022869384847581387,0.03148743882775307,0.005961495917290449,3.4525640283799084,0.005990115134816961,37.49338499915169,1775855670.0122902
