epoch_in_phase,train_bd,train_full,test_full,test_step
1,1.9070487945526837,1.9076766721904277,0.7866664290428161,0.7588059747219086
2,0.1559315565228462,0.1561089724302292,0.26311274766922,0.253432876765728
3,0.11973858539015055,0.1198942270129919,0.3778791069984436,0.34789235919713973
4,0.09717728283256293,0.09737590067088604,0.21494979858398439,0.20586190566420556
5,0.08496537517756224,0.08514799661934376,0.3467624247074127,0.31593167781829834
6,0.07682038314640521,0.07695311419665814,0.34021533131599424,0.31054559975862506
7,0.07277599638327956,0.07290622219443321,0.21767158508300782,0.20401176646351815
8,0.06727378945797682,0.0674398098140955,0.39693015813827515,0.3616408360004425
9,0.0635295881330967,0.06368021871894598,0.37511918544769285,0.3493835538625717
10,0.05971698772162199,0.059769248403608796,0.35115805864334104,0.3267516788840294
11,0.05650266218930483,0.056582177989184856,0.31034626960754397,0.2805692434310913
12,0.05407843228429556,0.054154640436172484,0.3431527137756348,0.3143654987215996
13,0.05171621035784483,0.05175932422280312,0.31432466506958007,0.2927235001325607
14,0.04985238986089826,0.04990330431610346,0.3381489932537079,0.3157438810914755
15,0.04910611379891634,0.04915418606251478,0.3435984253883362,0.3187479241192341
16,0.047132980674505234,0.04718361441046,0.28050636053085326,0.2550660518556833
17,0.04574235267937184,0.045796572044491765,0.17880509793758392,0.168979020267725
18,0.04483946297317743,0.04488914851099253,0.33742530941963195,0.30698949582874774
19,0.043827153313905,0.043877849169075486,0.3457686364650726,0.3152798876166344
20,0.042640960030257705,0.04269255790859461,0.2039712518453598,0.18746109403669833
21,0.026701983539387585,0.026753954496234654,0.12240625768899918,0.11420764334499836
22,0.024564642943441867,0.024615497794002295,0.12242077142000199,0.11451970599591732
23,0.024038997115567326,0.024093790631741285,0.11706295609474182,0.1091833882033825
24,0.024217266794294118,0.024269769620150327,0.19339184761047362,0.17382754400372505
25,0.02447919857688248,0.024525364954024555,0.1467869073152542,0.13577169939875602
26,0.024799637580290437,0.024845678266137837,0.16479961574077606,0.15139990292489527
27,0.025481194984167815,0.02552537964656949,0.15331934094429017,0.14121886864304542
28,0.025421159071847797,0.02546384185552597,0.1534536749124527,0.14110977616161108
29,0.025487964618951083,0.02553014559671283,0.17069024443626404,0.1563161288946867
30,0.02523295994848013,0.025274515431374312,0.19332126677036285,0.17517259508371352
31,0.025408096741884947,0.02544826818630099,0.17386170625686645,0.1588760817795992
32,0.025541793778538702,0.025580573175102473,0.1663296639919281,0.15243466928601265
33,0.02551119542680681,0.025549392588436602,0.1518937438726425,0.1401215898245573
34,0.02551719962619245,0.025553872901946308,0.15701464116573333,0.14472330033779143
35,0.025477377446368337,0.0255143653601408,0.14259213507175444,0.13236620627343654
36,0.025320548815652728,0.02535554151982069,0.14530877470970155,0.13498340658843516
37,0.024994772914797066,0.025028375815600155,0.18299843966960908,0.16596605941653253
38,0.025197104858234523,0.025234389957040547,0.23509547412395476,0.20995687313377856
39,0.025194902401417495,0.025231798086315392,0.14463188946247102,0.13348642691969873
40,0.02505404003895819,0.025089528039097787,0.13290219008922577,0.12283941380679607
41,0.019590717693790793,0.019639042019844056,0.10065158754587174,0.09375800434499978
42,0.01908521544188261,0.019137530867010356,0.10620857775211334,0.09870932586491107
43,0.01900061994791031,0.019053401052951814,0.10416189581155777,0.09682420030236244
44,0.018700392325408755,0.01875387467443943,0.10915760844945907,0.10065346039831638
45,0.018288838011212647,0.01834438992664218,0.1035802721977234,0.09604966744780541
46,0.018246204224415124,0.018302132096141576,0.10139342695474625,0.09406028747558594
47,0.01817923673428595,0.018235310353338717,0.0976562887430191,0.090853574834764
48,0.018055067183449864,0.018111332412809135,0.09583916366100312,0.08930263128131628
49,0.01786854107864201,0.017925600986927748,0.10141422301530838,0.09395801410079002
50,0.01780275144148618,0.017859752755612135,0.09980171620845794,0.09261005081236362
51,0.017734843897633256,0.017791473399847747,0.10063982754945755,0.09337829176336526
52,0.017741800807416438,0.01779773635789752,0.10128493309020996,0.0936419665813446
53,0.01774609733838588,0.017801206838339568,0.10117484480142594,0.09355258710682392
54,0.017770746373571455,0.01782485917210579,0.10136685222387314,0.09370817471295595
55,0.017783876517787577,0.017837167717516422,0.1020120769739151,0.09440043125301599
56,0.017814727993682028,0.017867438215762376,0.10166452974081039,0.0942704988270998
57,0.01764114408288151,0.017695063166320323,0.10519156008958816,0.0974456649646163
58,0.01772586564999074,0.017779554054141045,0.10761850625276566,0.09902591489255429
59,0.017764790090732275,0.017816292215138675,0.10849839150905609,0.10016421489417553
60,0.017905830279923974,0.01795746050775051,0.10505833774805069,0.09681664738804102
61,0.01715244762133807,0.017206973303109406,0.09515016973018646,0.08848158277571201
62,0.016812424175441265,0.0168693539686501,0.09308745712041855,0.08668257050216198
63,0.016748745203949512,0.01680609881877899,0.0945703387260437,0.0879640969261527
64,0.016705372906289994,0.01676263604313135,0.09482410848140717,0.08817716993391514
65,0.01667287638876587,0.01673006983473897,0.09408822357654571,0.08752002447843552
66,0.01664014931768179,0.016697296779602765,0.09434571266174316,0.08770968295633792
67,0.01660479965619743,0.016661859955638646,0.09553589224815369,0.08876228239387274
68,0.01657292483840138,0.016629880387336017,0.0947866603732109,0.08806858982890844
