epoch_in_phase,train_bd,train_full,test_full,test_step
1,2.605670614168048,6.30552464723587,3.867675304412842,3.7664093017578124
2,0.6060764368623495,4.5104440450668335,1.665832757949829,1.6569796800613403
3,0.5141989551484585,2.803983360528946,0.48577800393104553,0.47908331751823424
4,0.35704708378762007,1.908862143754959,0.5671939849853516,0.5633874237537384
5,0.3055762778967619,1.6867731511592865,0.6499021053314209,0.6448905944824219
6,0.26000087056308985,1.3272364735603333,0.6302878260612488,0.6202249765396118
7,0.2290188438259065,1.2978659570217133,0.4817228615283966,0.47112869620323183
8,0.20805501099675894,1.12595896422863,0.4643931984901428,0.4561543703079224
9,0.2053512053564191,1.0471809357404709,0.4736952781677246,0.46635904908180237
10,0.1971363676711917,0.9078365564346313,0.5057579874992371,0.49598971009254456
11,0.18327932385727763,0.9698931127786636,0.4812198877334595,0.47275346517562866
12,0.1803011827170849,0.9447776526212692,0.44744235277175903,0.43680278956890106
13,0.19835520954802632,0.906980037689209,0.38123005628585815,0.37324209213256837
14,0.17575756497681141,0.8920629993081093,0.39192238450050354,0.38170082271099093
15,0.15992714548483491,0.8073068633675575,0.3392350375652313,0.3310698390007019
16,0.16126853721216322,0.7296143621206284,0.34213942289352417,0.3360252618789673
17,0.17471153158694505,0.8192454874515533,0.3080527186393738,0.3023283198475838
18,0.16675954665988685,0.8460179045796394,0.307881236076355,0.30221854001283643
19,0.16165257506072522,0.722836084663868,0.2673839032649994,0.26170477718114854
20,0.19545005345717073,0.83708356320858,0.24567018449306488,0.24038180708885193
21,0.14817554727196694,0.8669045493006706,0.3019807040691376,0.2950010374188423
22,0.12909842217341067,0.8018061444163322,0.29059869050979614,0.28551109731197355
23,0.12032228829339146,0.7024681270122528,0.2774665355682373,0.27163408845663073
24,0.11341286981478334,0.6943782866001129,0.2556383013725281,0.24960409104824066
25,0.1086037365719676,0.668172113597393,0.2606377601623535,0.25404772758483884
26,0.1048420399427414,0.6597868278622627,0.24705475568771362,0.24014020413160325
27,0.10466775596141815,0.6692217141389847,0.24836665391921997,0.24131491482257844
28,0.1018773359246552,0.665059357881546,0.24472089111804962,0.23769167214632034
29,0.09802352413535118,0.6551646739244461,0.2367074191570282,0.22982805371284484
30,0.09751605074852705,0.6474096477031708,0.20950868725776672,0.2033836454153061
31,0.09690509298816323,0.6402191258966923,0.20895729959011078,0.20237599760293962
