stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,conv1.w3.bias,0.9,0.999,9.765625e-06,1e-08,5.23098009352907e-10,3.935383858788555e-07,9.313225746154785e-10,5.049627899568831,7.487368058870743e-05,2088.606104304596,1783154845.5011282
full_loss_1,full_loss_2,conv1.bn0.weight,0.9,0.999,9.765625e-06,1e-08,0.006870615296065807,0.11809724569320679,0.035442326217889786,1.744680563084362,0.009495103553581788,38.37147433400498,1783154845.5012379
full_loss_1,full_loss_2,conv1.bn0.bias,0.9,0.999,9.765625e-06,1e-08,0.006619071122258902,0.09619270265102386,0.030984677374362946,1.9226161169487512,0.010191124504900053,33.57423424687599,1783154845.5013447
full_loss_1,full_loss_2,conv1.bn1.weight,0.9,0.999,9.765625e-06,1e-08,0.00989034678786993,0.11376409232616425,0.02463165670633316,3.6137691487202743,0.0068502381941430756,31.64014500675452,1783154845.5014536
full_loss_1,full_loss_2,conv1.bn1.bias,0.9,0.999,9.765625e-06,1e-08,0.009736335836350918,0.09087704122066498,0.019464362412691116,4.501921032128028,0.006776465932382571,26.821458274030093,1783154845.5015595
full_loss_1,full_loss_2,conv1.bn2.weight,0.9,0.999,9.765625e-06,1e-08,0.00628091162070632,0.0921630933880806,0.023800168186426163,2.375117862243563,0.008170342054757576,36.2635916820834,1783154845.5016844
full_loss_1,full_loss_2,conv1.bn2.bias,0.9,0.999,9.765625e-06,1e-08,0.006607432384043932,0.07338298857212067,0.01651366800069809,3.601071030995686,0.007119760917725834,30.526404171750304,1783154845.5017948
full_loss_1,full_loss_2,conv1.bn3.weight,0.9,0.999,9.765625e-06,1e-08,0.010228624567389488,0.17303895950317383,0.05278481915593147,1.7440169839895494,0.00965122407496399,37.7598973573472,1783154845.501904
full_loss_1,full_loss_2,conv1.bn3.bias,0.9,0.999,9.765625e-06,1e-08,0.019064471125602722,0.15936033427715302,0.039422642439603806,4.352327228925261,0.007826773300632127,23.87121845327614,1783154845.5020216
full_loss_1,full_loss_2,conv1.fc1.weight,0.9,0.999,9.765625e-06,1e-08,0.0018517744028940797,0.104273222386837,0.012371335178613663,1.3471439730701058,0.003753712741078264,113.50088055915897,1783154845.5024774
full_loss_1,full_loss_2,conv1.fc1.bias,0.9,0.999,9.765625e-06,1e-08,0.003144466318190098,0.09580544382333755,0.016635427251458168,1.7012004822135873,0.005493650519982067,67.3879352874295,1783154845.5026028
full_loss_1,full_loss_2,conv1.fc2.weight,0.9,0.999,9.765625e-06,1e-08,0.007337586954236031,0.4293810725212097,0.12017673254013062,0.5495097194918543,0.00885512612559903,72.88043282622488,1783154845.5027401
full_loss_1,full_loss_2,conv1.fc2.bias,0.9,0.999,9.765625e-06,1e-08,0.03233799710869789,0.5376615524291992,0.16473686695098877,1.7667082017718772,0.009693912075046872,37.285293480072966,1783154845.5028603
full_loss_2,full_loss_3,conv1.fc0.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0049078441224992275,0.11705014854669571,0.028019903227686882,1.5764007727646625,0.007573766605952713,51.2477331130407,1783154856.8736
full_loss_2,full_loss_3,conv1.fc0.bias,0.9,0.999,9.5367431640625e-09,1e-08,3.507208035102849e-08,2.437880539218895e-06,3.3681862987577915e-07,0.9371446767389104,0.004371200849617279,118.0391143746739,1783154856.8737357
full_loss_2,full_loss_3,conv1.conv0.weights1,0.9,0.999,9.5367431640625e-09,1e-08,1.1403989446989726e-05,0.000983434496447444,8.258204616140574e-05,1.2428355623384675,0.00265679139868656,167.82025047447834,1783154856.8812034
full_loss_2,full_loss_3,conv1.conv1.weights1,0.9,0.999,9.5367431640625e-09,1e-08,2.229318124591373e-05,0.000901899067685008,0.0001435483427485451,1.3977077406388196,0.005035672764561042,82.82202656510692,1783154856.8887157
full_loss_2,full_loss_3,conv1.conv2.weights1,0.9,0.999,9.5367431640625e-09,1e-08,3.023708995897323e-05,0.0008613474201411009,0.0001602587290108204,1.6980903917832442,0.0058865466785453765,62.962591152865315,1783154856.8965132
full_loss_2,full_loss_3,conv1.conv3.weights1,0.9,0.999,9.5367431640625e-09,1e-08,3.495721102808602e-05,0.0009097229340113699,0.00017634342657402158,1.7841033464131355,0.006132921240429993,58.566190852637625,1783154856.9038978
full_loss_2,full_loss_3,conv1.w0.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.00043213064782321453,0.035136621445417404,0.005919456481933594,0.6570156975765982,0.005330145793806919,113.22290015706388,1783154856.904363
full_loss_2,full_loss_3,conv1.w0.bias,0.9,0.999,9.5367431640625e-09,1e-08,1.2321554887506636e-10,1.5979924228304299e-07,7.566995918750763e-10,1.4635614850092609,0.00014981776784767228,2314.8834327161176,1783154856.904639
full_loss_2,full_loss_3,conv1.w1.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0007040243945084512,0.052275151014328,0.010119817219674587,0.6261199597193605,0.006124838311030745,100.40440868067631,1783154856.904945
