epoch_in_phase,train_bd,train_res,test_full
1,1.4855170143975152,0.0,1.4023048400878906
2,0.9808180703057183,0.0,1.1327367782592774
3,0.7319793277316623,0.0,1.1429012298583985
4,0.49991285536024305,0.0,0.5580143928527832
5,0.4013173871570163,0.0,0.368343448638916
6,0.3503321356243557,0.0,0.25490214824676516
7,0.2706078714794583,0.0,0.3374505043029785
8,0.24232644107606677,0.0,0.27448439598083496
9,0.1739686171213786,0.0,0.1993793725967407
10,0.20193736420737374,0.0,0.20396690368652343
11,0.15463239351908367,0.0,0.13272624015808104
12,0.14223355054855347,0.0,0.09907467365264892
13,0.1434817632039388,0.0,0.2518064737319946
14,0.19813946617974176,0.0,0.12213960886001587
15,0.14507995976342095,0.0,0.16547166109085082
16,0.16479373243119982,0.0,0.15244568586349488
17,0.14944938951068454,0.0,0.10087528228759765
18,0.12210499909189013,0.0,0.08642134666442872
19,0.10805907845497131,0.0,0.06297850608825684
20,0.09431183338165283,0.0,0.18716609477996826
21,0.11874062021573385,0.0,0.10372134447097778
22,0.08514908817079332,0.0,0.09455807209014892
23,0.09526852137512631,0.0,0.09090461134910584
24,0.08339419100019667,0.0,0.06235028505325317
25,0.0788099533981747,0.0,0.06070291996002197
26,0.10540537436803182,0.0,0.09041520953178406
27,0.06962258915106455,0.0,0.05814348459243775
28,0.062449934085210164,0.0,0.050999152660369876
29,0.06991871893405914,0.0,0.07678040266036987
30,0.06878895726468828,0.0,0.07876546978950501
31,0.07143946323129866,0.0,0.05176602602005005
32,0.08054685725106134,0.0,0.04103491902351379
33,0.08029643098513285,0.0,0.04461593627929687
34,0.06299225787321726,0.0,0.05525668263435364
35,0.059271132614877486,0.0,0.046037933230400084
36,0.06577598055203755,0.0,0.04964190721511841
37,0.06564293073283302,0.0,0.05010663866996765
38,0.050341707136895925,0.0,0.04260668456554413
39,0.06753209167056613,0.0,0.048291414976119995
40,0.07378884620136685,0.0,0.05608043670654297
41,0.04932189749346839,0.0,0.048921188712120055
42,0.062361873851882084,0.0,0.04686380624771118
43,0.07072893215550316,0.0,0.03868411779403687
44,0.059914417068163556,0.0,0.047916832566261294
45,0.04931225412421757,0.0,0.03684495091438293
46,0.05809103714095221,0.0,0.035848981142044066
47,0.06899414890342288,0.0,0.040120828151702884
48,0.04331995613045163,0.0,0.03540048599243164
49,0.05112090309460958,0.0,0.0418965220451355
50,0.04958205620447795,0.0,0.04428003430366516
51,0.0664664399292734,0.0,0.04721001386642456
52,0.04965022802352905,0.0,0.0347687691450119
53,0.057775347762637666,0.0,0.04156367182731628
54,0.06712839139832391,0.0,0.03669040203094483
55,0.05634562820196152,0.0,0.04587077796459198
56,0.05066087560521232,0.0,0.03712674379348755
57,0.0432967323395941,0.0,0.03520839810371399
58,0.04428808258639442,0.0,0.03387002944946289
59,0.05049980580806732,0.0,0.03432710170745849
60,0.05166756510734558,0.0,0.042777082324028014
61,0.044078305032518174,0.0,0.03971227705478668
62,0.046193793416023254,0.0,0.03560073375701904
63,0.049311800135506526,0.0,0.035892143845558167
64,0.04873255971405241,0.0,0.034981179237365725
65,0.036948281857702464,0.0,0.0326711356639862
66,0.04357070740726259,0.0,0.0383616715669632
67,0.06441308226850298,0.0,0.03340155184268952
68,0.04881092177497016,0.0,0.033651930093765256
69,0.046620025402969785,0.0,0.033359280228614806
70,0.046909704969988926,0.0,0.03413601815700531
71,0.05786559747325049,0.0,0.03236709833145142
72,0.03645033323102527,0.0,0.03323022127151489
73,0.059688898589875965,0.0,0.03332616090774536
74,0.03735772288507885,0.0,0.03318668007850647
75,0.05058516561985016,0.0,0.03240902423858642
76,0.05967674238814248,0.0,0.0341482549905777
77,0.03514837324619293,0.0,0.03240101933479309
78,0.04717450638612111,0.0,0.03283933401107788
79,0.041165132655037774,0.0,0.03269188404083252
80,0.046649520761436886,0.0,0.032565200328826906
81,0.04642097188366784,0.0,0.03217812776565552
82,0.04923674530453152,0.0,0.03243405818939209
83,0.04465884566307068,0.0,0.03288276195526123
84,0.07306559251414405,0.0,0.03662664294242859
85,0.052160328957769606,0.0,0.03339860439300537
86,0.04348762846655316,0.0,0.033223575353622435
87,0.048687127894825405,0.0,0.032286053895950316
88,0.043053455981943344,0.0,0.03279426693916321
89,0.034377804067399764,0.0,0.0324910044670105
90,0.029870190719763438,0.0,0.03192207217216492
91,0.04504090944925944,0.0,0.03175983726978302
92,0.03888124343421724,0.0,0.03224952220916748
93,0.049418181346522434,0.0,0.03272517323493958
94,0.05796560330523385,0.0,0.03188995122909546
95,0.034558841089407606,0.0,0.03181138038635254
96,0.05121041337649027,0.0,0.03219549655914307
97,0.04843967027134365,0.0,0.032273367047309875
98,0.038521874282095164,0.0,0.03221302628517151
99,0.045964561237229244,0.0,0.03224214613437652
100,0.04499599056111442,0.0,0.03286028504371643
101,0.027077109118302665,0.0,0.03239012658596039
102,0.05507915649149153,0.0,0.03319820761680603
103,0.05712013592322667,0.0,0.03329659104347229
104,0.04452956335412132,0.0,0.03227526545524597
105,0.04036979956759347,0.0,0.0326833039522171
106,0.03718324717548158,0.0,0.03285385370254516
107,0.0509292119079166,0.0,0.032158538699150085
108,0.0317784587542216,0.0,0.03228272199630737
109,0.04502388255463706,0.0,0.032628577947616574
110,0.06368210547500186,0.0,0.032434162497520444
111,0.037870092689990996,0.0,0.032396018505096436
112,0.046088563899199166,0.0,0.03246249556541443
113,0.0467968558271726,0.0,0.03242836594581604
114,0.04191769543621275,0.0,0.03272260427474975
115,0.04431643866830402,0.0,0.03334486484527588
116,0.04386831969022751,0.0,0.03231225907802582
117,0.06428420676125421,0.0,0.032855933904647826
118,0.03348167836666107,0.0,0.0324282705783844
119,0.08358352151181962,0.0,0.032445648312568666
120,0.04524297962586085,0.0,0.03242626190185547
121,0.057752582099702625,0.0,0.03257945477962494
122,0.04562135570579105,0.0,0.032500040531158444
123,0.03656687421931161,0.0,0.032356858253479004
124,0.04331505762206184,0.0,0.03249559104442597
125,0.05592963049809138,0.0,0.0331728458404541
126,0.029172487722502815,0.0,0.03284042477607727
127,0.05096076511674457,0.0,0.03237062394618988
128,0.03444034821457333,0.0,0.0321271538734436
129,0.04758788181675805,0.0,0.03325042724609375
130,0.03340172916650772,0.0,0.03210545778274536
131,0.041761739552021025,0.0,0.03209341764450073
132,0.04716971566279729,0.0,0.03208738565444946
133,0.04885416593816545,0.0,0.032713276147842404
134,0.03884789745012919,0.0,0.032102009654045104
135,0.03886142704221937,0.0,0.032535478472709656
136,0.06693878836101956,0.0,0.03220001459121704
137,0.05564251608318753,0.0,0.03216250538825989
138,0.04154791831970215,0.0,0.03213132619857788
139,0.03945477671093411,0.0,0.032253557443618776
140,0.05653133309549756,0.0,0.03249087929725647
141,0.05125389595826467,0.0,0.0321282833814621
142,0.041950880156622995,0.0,0.03207055330276489
143,0.052590457929505244,0.0,0.03246252238750458
144,0.05262800256411235,0.0,0.03256062269210815
145,0.05152603437503179,0.0,0.03217323124408722
146,0.05373921460575527,0.0,0.03256117105484009
147,0.04867793023586273,0.0,0.03227483630180359
148,0.04740296337339613,0.0,0.0322968065738678
149,0.041572796470589105,0.0,0.032197040319442746
150,0.049397052824497224,0.0,0.032063668966293334
151,0.053069717188676195,0.0,0.032641685009002684
152,0.04241141147083706,0.0,0.03282702565193176
153,0.042864267196920186,0.0,0.03202452063560486
154,0.04576587561104033,0.0,0.03226603269577026
155,0.042694546778996784,0.0,0.03218331336975098
156,0.04186251229710049,0.0,0.03220178484916687
157,0.04483465651671092,0.0,0.032267427444458006
158,0.044770361814233994,0.0,0.03211972713470459
159,0.05023212962680393,0.0,0.03286399841308594
160,0.045857209298345775,0.0,0.032162809371948244
161,0.04283214939965142,0.0,0.03215144276618957
162,0.047923791077401905,0.0,0.03239395618438721
163,0.04618091930945714,0.0,0.03227794766426086
164,0.04455796976884206,0.0,0.032139360904693604
165,0.041655928393205005,0.0,0.03216999173164368
166,0.05202964742978414,0.0,0.03225513398647308
167,0.0451503970556789,0.0,0.03216931819915771
168,0.051666344536675346,0.0,0.032123544812202455
169,0.056006673309538096,0.0,0.032151252031326294
170,0.04615559412373437,0.0,0.0322834312915802
171,0.057673781116803484,0.0,0.032684653997421265
172,0.04016504916879866,0.0,0.03236382901668548
173,0.0567452202240626,0.0,0.032953310012817386
174,0.04655104147063361,0.0,0.03235153555870056
175,0.05485029055012597,0.0,0.032289788126945496
176,0.03947936909066306,0.0,0.03208417594432831
177,0.04721954680151409,0.0,0.032333528995513915
178,0.05203700628545549,0.0,0.03212506771087646
179,0.05879246559407976,0.0,0.03249385952949524
180,0.03807388295729955,0.0,0.03221105635166168
181,0.04601399931642744,0.0,0.03245992958545685
182,0.03818664799133937,0.0,0.03210916519165039
183,0.0335777234699991,0.0,0.0322210967540741
184,0.04899374296267827,0.0,0.032880210876464845
185,0.0531470227572653,0.0,0.032977628707885745
186,0.037181103229522706,0.0,0.03228815793991089
187,0.037473611533641815,0.0,0.03239632248878479
188,0.03453005188041263,0.0,0.03259662687778473
189,0.053048537340429094,0.0,0.033090174198150635
190,0.05148352947500017,0.0,0.032141244411468504
191,0.04600820922189289,0.0,0.03232875466346741
192,0.03302955196963416,0.0,0.03221873641014099
193,0.04253960102796554,0.0,0.03269922733306885
194,0.03943073915110694,0.0,0.03226683139801025
195,0.0397235244512558,0.0,0.03210769891738892
196,0.05016300314002567,0.0,0.032215633988380434
197,0.04385067539082633,0.0,0.03307562470436096
198,0.0488162691394488,0.0,0.03258019387722015
199,0.04163555966483222,0.0,0.032547777891159056
200,0.036083175738652544,0.0,0.0324077844619751
201,0.04174800349606408,0.0,0.03231222927570343
202,0.057336618502934776,0.0,0.03300539255142212
203,0.04446952193975449,0.0,0.0324426144361496
204,0.04596494403150347,0.0,0.032181331515312196
205,0.04706227464808358,0.0,0.032086771726608274
206,0.056401379572020634,0.0,0.032329237461090087
207,0.03661761350101895,0.0,0.032706746459007265
208,0.051328873965475294,0.0,0.032351738214492796
209,0.047924817932976614,0.0,0.032550060749053956
210,0.05901394171847237,0.0,0.032164716720581056
211,0.052397721343570285,0.0,0.032174527645111084
212,0.03483312477668126,0.0,0.03245346546173096
213,0.05069969892501831,0.0,0.03232114911079407
214,0.04478063782056173,0.0,0.03228451907634735
215,0.04985105527771844,0.0,0.0324741393327713
216,0.03887370377779007,0.0,0.03245271146297455
217,0.04862838900751538,0.0,0.03216889500617981
218,0.04938963784111871,0.0,0.032325977087020875
219,0.044447178641955055,0.0,0.032332032918930054
220,0.043332234852843814,0.0,0.032093769311904906
221,0.058062682880295646,0.0,0.03210870623588562
222,0.04369293186399672,0.0,0.032098978757858276
223,0.04858651028739081,0.0,0.03241969347000122
224,0.06510488357808855,0.0,0.03259973227977753
225,0.032118118471569486,0.0,0.03219190239906311
226,0.034991410871346794,0.0,0.03210952877998352
227,0.03862470984458923,0.0,0.03219294846057892
228,0.05501885364452998,0.0,0.032363253831863406
229,0.03819728510247337,0.0,0.03247383236885071
230,0.055346327854527366,0.0,0.0327255517244339
231,0.05774365531073676,0.0,0.03247078061103821
232,0.05339512079954147,0.0,0.032445991039276124
233,0.04566495153639052,0.0,0.03218082785606384
234,0.032615413930681014,0.0,0.03220602869987488
235,0.04647487137052748,0.0,0.032534414529800416
236,0.0503020476963785,0.0,0.032370331883430484
237,0.05959378977616628,0.0,0.03230806291103363
238,0.030041397280163234,0.0,0.03256520628929138
239,0.04123269965251287,0.0,0.032133984565734866
240,0.04249701516495811,0.0,0.0328805685043335
241,0.0471690575281779,0.0,0.03226620554924011
242,0.04951254924138387,0.0,0.03226611614227295
243,0.037111909687519075,0.0,0.032244947552680966
244,0.04337517304552926,0.0,0.032451122999191284
245,0.048449727892875674,0.0,0.0322151780128479
246,0.059393144150575,0.0,0.03231586813926697
247,0.04744557854202058,0.0,0.032115775346755984
248,0.043079605533017054,0.0,0.032197824120521544
249,0.05150326738754908,0.0,0.03223082423210144
250,0.040730643769105276,0.0,0.03231405913829803
251,0.04579962773455514,0.0,0.03219519853591919
252,0.05069276856051551,0.0,0.03248944878578186
253,0.043528266582224105,0.0,0.032062068581581116
254,0.06306210954984029,0.0,0.03316709995269775
255,0.05484195699294408,0.0,0.03240342438220978
256,0.053181916309727566,0.0,0.03210311532020569
257,0.046144533488485545,0.0,0.032231193780899045
258,0.041907952394750383,0.0,0.03224680423736572
259,0.04369776878092024,0.0,0.032188603281974794
260,0.04007608609067069,0.0,0.03208734095096588
261,0.06705570469299953,0.0,0.032301312685012816
262,0.07002073311143452,0.0,0.032643580436706544
263,0.03739164405398899,0.0,0.03208321630954743
264,0.06419566869735718,0.0,0.03227999806404114
265,0.03011561499701606,0.0,0.03213042616844177
266,0.05607647862699297,0.0,0.032158946990966795
267,0.058322131799327,0.0,0.03237089216709137
268,0.05306659821006987,0.0,0.03241233825683594
269,0.05291343960497114,0.0,0.03254559934139252
270,0.049955450495084125,0.0,0.032095739245414735
271,0.04569447139898936,0.0,0.03230606317520142
272,0.04980883250633875,0.0,0.032429808378219606
273,0.042007247606913246,0.0,0.032221275568008426
274,0.042568129301071164,0.0,0.032218876481056216
275,0.05225732061598036,0.0,0.03298997581005096
276,0.0660057125820054,0.0,0.03212212324142456
277,0.03748253583908081,0.0,0.032200753688812256
278,0.042063648336463505,0.0,0.032289379835128786
279,0.04180450886487961,0.0,0.03250617980957031
280,0.038990189797348446,0.0,0.0321332573890686
281,0.04287375542852614,0.0,0.03244490623474121
282,0.04168800794416004,0.0,0.03235868513584137
283,0.03908081154028575,0.0,0.03215658664703369
284,0.04817384547657437,0.0,0.03218893110752106
285,0.05962389906247457,0.0,0.03289625644683838
286,0.03412003219127655,0.0,0.032804107666015624
287,0.037966077029705045,0.0,0.03247626423835755
288,0.07368519802888235,0.0,0.032859259843826295
289,0.051101431250572205,0.0,0.032177013158798215
290,0.038707062270906235,0.0,0.03222934007644653
291,0.039729025959968564,0.0,0.0322611391544342
292,0.04041981746753057,0.0,0.03216324746608734
293,0.03789503739939796,0.0,0.03239499926567078
294,0.05747531553109487,0.0,0.03214070200920105
295,0.04663290994034873,0.0,0.03218361437320709
296,0.06508443521128761,0.0,0.03227500915527344
297,0.050026594930224946,0.0,0.03230750262737274
298,0.057597025401062436,0.0,0.032148560881614684
299,0.03901967505613963,0.0,0.03218502402305603
300,0.03906431165006426,0.0,0.03222271800041199
