epoch_in_phase,train_bd,train_res,test_full
1,4.966778235965305,37.08794191148546,9.969325256347656
2,1.468984195921156,33.294189029269745,6.73309326171875
3,1.1492122332255046,33.477699491712784,4.1356254577636715
4,1.0076275401645236,32.45458581712511,2.3430660247802733
5,0.9905746142069499,31.371612760755752,2.2751787185668944
6,0.9902374055650499,31.02918773227268,2.406719207763672
7,0.9753977139790853,29.255390167236328,1.7563907623291015
8,0.9652001698811848,27.088976754082573,2.166872978210449
9,0.966571240954929,24.250321282280815,1.6933601379394532
10,0.8336255815294054,18.920151498582626,1.7704561233520508
11,0.6572863790724013,16.64655770195855,1.9465526580810546
12,0.5496287133958605,13.779720624287924,2.2053354263305662
13,0.5824533224105835,11.075090302361382,2.2467863082885744
14,0.4277943770090739,10.112883726755777,2.722483825683594
15,0.49404859013027613,9.432500574323866,3.3339092254638674
16,0.49938921795950997,8.676914956834581,3.7234188079833985
17,0.49152937200334335,8.52959500418769,4.3269813537597654
18,0.34994197421603734,6.971873495313856,4.3691558837890625
19,0.37433865467707317,6.096333185831706,4.594166564941406
20,0.3820555528004964,5.78277391857571,4.905072021484375
21,0.2925126976437039,5.1593667136298285,5.227903747558594
22,0.2697618696424696,4.135597334967719,5.222299194335937
23,0.2596000671386719,3.615958743625217,5.435815811157227
24,0.2494306590822008,3.612072706222534,5.430246734619141
25,0.3416876885626051,4.0893874168396,5.737213134765625
26,0.24601058430141873,3.132191684510973,5.697125244140625
27,0.3389261325200399,3.3981503910488553,6.050252532958984
28,0.24831503364774915,3.162307129965888,6.21716079711914
29,0.2005481481552124,2.983697533607483,6.0639701843261715
30,0.3217378298441569,3.1621097458733454,6.073086547851562
31,0.21830505596266853,2.6840234067704944,6.045846557617187
32,0.3030050794283549,2.920820024278429,6.0913337707519535
33,0.27738530106014675,2.9254037539164224,6.3084869384765625
34,0.23697459432813855,2.3776668442620172,6.315805816650391
35,0.33877837194336785,2.9321084022521973,6.277903747558594
36,0.20800608197848003,2.458578944206238,6.295310592651367
37,0.21605123413933647,2.6225024461746216,6.128907012939453
38,0.20002410676744248,2.30484147866567,6.29625358581543
39,0.23602923154830932,2.2462232377794056,6.518048858642578
40,0.18242674469947814,1.9733946323394775,6.536634063720703
41,0.15169162882698906,1.9000461498896282,6.44921875
42,0.20276681317223444,1.9450666109720867,6.441114807128907
43,0.17600228786468505,1.873952203326755,6.5040031433105465
44,0.1801553686459859,1.8955196804470487,6.433646392822266
45,0.19174117512173122,1.8155912028418646,6.615816497802735
46,0.13176395561960008,1.7774157789018419,6.597901916503906
47,0.2109603272544013,2.1845208273993597,6.64659423828125
48,0.17918243209520976,1.9859520726733737,6.591412353515625
49,0.2110743178261651,2.1527796586354575,6.634890747070313
50,0.20780699451764426,2.226444575521681,6.623922729492188
51,0.19467462168799507,2.1458412541283503,6.681404113769531
52,0.1375504281785753,1.9878274467256334,6.708850860595703
53,0.11488514807489184,1.6827178133858576,6.665825653076172
54,0.2077046897676256,2.251938568221198,6.761686706542969
55,0.17669652766651578,1.989886959393819,6.680792236328125
56,0.19157979091008503,1.9964205821355183,6.710504150390625
57,0.2377144542005327,2.9813781446880765,6.7359458923339846
58,0.1016553415192498,1.5250784754753113,6.659696960449219
59,0.15951523118548924,1.918648600578308,6.6696319580078125
60,0.17240894105699328,2.304906474219428,6.703136444091797
61,0.11906911465856763,1.8022477229436238,6.714913940429687
62,0.11361519694328308,1.732920037375556,6.663725280761719
63,0.19790912204318575,2.2294078270594277,6.750205993652344
64,0.1230884313583374,1.534789866871304,6.743281555175781
65,0.10802475280231899,1.5764319499333699,6.68890151977539
66,0.1628008206685384,1.8255398405922785,6.685820007324219
67,0.12548069887691074,1.848523736000061,6.690049743652343
68,0.11011529366175334,1.7195006807645161,6.772654724121094
69,0.12106549938519796,1.7905140320460002,6.742007446289063
70,0.14905082252290514,1.994871523645189,6.782827758789063
71,0.1481312659051683,1.8492607673009236,6.827430725097656
72,0.15854224099053277,2.209375540415446,6.741268920898437
73,0.10259638428688049,1.5696806444062128,6.728026580810547
74,0.12842963602807786,1.5824572642644246,6.750813293457031
75,0.14201631546020507,1.6926910612318251,6.771878051757812
76,0.10187585022714403,1.8221769597795274,6.787040710449219
77,0.14206850992308723,1.9822873406940036,6.750517272949219
78,0.11937887933519152,1.9666738775041368,6.768166351318359
79,0.1222281210952335,1.7680517435073853,6.7129570007324215
80,0.16359255777464973,2.046858297453986,6.781184387207031
81,0.14415227903260125,1.8295518689685397,6.765404510498047
82,0.12039001716507805,1.6468479368421767,6.739801025390625
83,0.16470202340020074,2.1124527321921454,6.821980285644531
84,0.09120910300148857,1.4778296550114949,6.805661010742187
85,0.1386561029487186,1.7737286620669894,6.834913635253907
86,0.09969615042209626,1.4667371114095051,6.787008666992188
87,0.15615689092212254,2.236339569091797,6.856655883789062
88,0.1452369405163659,1.8421900272369385,6.81431884765625
89,0.11599899994002448,1.545136915312873,6.743621063232422
90,0.11486089163356357,1.6708743770917256,6.757480621337891
91,0.10191971858342488,1.7225058476130168,6.722486877441407
92,0.10826621916559008,1.5477073060141668,6.729368591308594
93,0.14214379058943855,1.9232149521509807,6.763888549804688
94,0.1650389101770189,2.125210232204861,6.849519348144531
95,0.15447404517067803,2.1441689332326255,6.899534606933594
96,0.12607376906606887,1.7051984734005399,6.852265930175781
97,0.16961333089404637,2.162390391031901,6.800379943847656
98,0.12390592694282532,1.6067229111989338,6.779432678222657
99,0.15689798593521118,1.9246377613809373,6.897510528564453
100,0.11894521746370527,1.737572815683153,6.774160003662109
