epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,full_loss_1,1,0.25218915939331055,0.2579280436038971,0.3886553943157196,0.9602255821228027,0.01,0.0025218915939331055,2.5310175471835668,639.1461291842991,3.3990734100341795,-0.012113208931813974,False
2,full_loss_1,2,0.10073366016149521,0.10225416719913483,0.15769092738628387,0.705680251121521,0.01,0.001007336601614952,1.4191168785095214,55.289635552300346,1.8642606735229492,0.03707388027675681,False
3,full_loss_1,3,0.045050568878650665,0.044259633868932724,0.07373682409524918,0.7022874355316162,0.01,0.00045050568878650664,1.2501844088236491,49.06097878350152,1.257542037963867,0.06373758917697449,False
4,full_loss_1,4,0.024698171764612198,0.0203879214823246,0.056250352412462234,0.7957594990730286,0.01,0.00024698171764612196,1.261140113406711,54.4467650519477,1.6956977844238281,0.20686823413999672,False
5,full_loss_1,5,0.012814770452678204,0.009125842712819576,0.034299302846193314,0.8437353372573853,0.01,0.00012814770452678202,1.1043049176534017,53.38685014512804,1.2606409072875977,0.30822025209905984,False
6,full_loss_1,6,0.008150560781359673,0.004398139659315348,0.02654428593814373,0.5516464114189148,0.01,8.150560781359672e-05,1.1425812085469564,42.8260743882921,1.1550931930541992,0.4643103864551728,False
7,full_loss_1,7,0.00608107028529048,0.0025851442478597164,0.02203349955379963,0.6512830257415771,0.01,6.08107028529048e-05,1.025766944885254,37.84500164455838,0.9915678024291992,0.16180740390074827,False
8,full_loss_1,8,0.005121415480971336,0.0018801662372425199,0.019664326682686806,0.5948847532272339,0.01,5.121415480971336e-05,1.113707341088189,36.72672356499566,1.0701698303222655,0.48542890414692996,False
9,full_loss_1,9,0.00545699754729867,0.002047494286671281,0.02122008055448532,0.7059361934661865,0.01,5.45699754729867e-05,1.0487819883558485,37.3871226840549,1.09612979888916,0.6420429145687201,False
10,full_loss_1,10,0.004626036621630192,0.0016321225557476282,0.01824292726814747,0.5967661142349243,0.005,2.313018310815096e-05,1.0674254417419433,36.09128634134928,0.9842817306518554,0.48034767855197263,False
11,full_loss_1,11,0.004918842110782862,0.0018806603038683534,0.01897622086107731,0.7100447416305542,0.005,2.459421055391431e-05,1.1466245227389866,35.11715571085612,0.9887546539306641,0.0766683119472507,False
12,full_loss_1,12,0.004163778852671385,0.0015325919957831502,0.016294175758957863,0.6349295377731323,0.005,2.0818894263356924e-05,1.0498635980818007,34.01965226067437,1.0714210510253905,0.586534956414927,False
13,full_loss_1,13,0.004464106168597937,0.001690582255832851,0.017419738695025444,0.5428419709205627,0.005,2.2320530842989682e-05,1.1132879734039307,34.53467051188151,1.0723430633544921,0.8037202349736798,False
14,full_loss_1,14,0.005498495418578386,0.0020288904197514057,0.021480372175574303,1.0654280185699463,0.005,2.7492477092891933e-05,0.9690223058064779,34.24357032775879,1.0052450180053711,0.5162040684953636,False
15,full_loss_1,15,0.004516868386417627,0.0015421559801325202,0.018063237890601158,0.6061133146286011,0.005,2.2584341932088135e-05,1.0330174075232612,33.65642738342285,1.0156933784484863,0.249969373543,False
16,full_loss_1,16,0.004326240625232458,0.0015888777561485767,0.016812464222311974,0.523485541343689,0.005,2.163120312616229e-05,1.085898929172092,33.20910390218099,0.989093017578125,0.3541425060961347,False
17,full_loss_1,17,0.004528018180280924,0.0016245776787400246,0.017775680869817734,0.657111406326294,0.005,2.264009090140462e-05,0.9447367880079481,32.18618286980523,1.0104047775268554,0.4846771923812699,False
18,full_loss_1,18,0.005008631851524115,0.0018375505460426211,0.01927115023136139,0.8093171119689941,0.005,2.5043159257620574e-05,0.9264276610480414,32.31219885084364,0.9629449844360352,-0.009397470638514654,False
19,full_loss_1,19,0.005926318466663361,0.0020976883824914694,0.023702647536993027,0.7668220400810242,0.005,2.9631592333316803e-05,0.9144898573557536,31.57862006293403,0.9814823150634766,0.6996944807665733,False
20,full_loss_1,20,0.00622118916362524,0.0023122767452150583,0.02450830116868019,0.7432507276535034,0.0025,1.55529729090631e-05,0.9519508096906873,31.87859895494249,0.989158821105957,0.6156879113545057,False
21,full_loss_1,21,0.006206515245139599,0.0024675284512341022,0.023612890392541885,0.7750653624534607,0.0025,1.5516288112848996e-05,0.8889332082536485,31.207211176554363,0.9389999389648438,0.34178845862154156,False
22,full_loss_1,22,0.005370948929339647,0.0020447890274226665,0.02053818479180336,0.804172694683075,0.0025,1.3427372323349118e-05,0.8017372396257189,30.811553743150498,0.9317340850830078,0.6968839667478451,False
23,full_loss_1,23,0.007385405711829662,0.0030758732464164495,0.0277728084474802,0.5920811891555786,0.0025,1.8463514279574156e-05,0.8824891832139757,29.981858995225693,0.9303579330444336,0.39208170180731583,False
24,full_loss_1,24,0.005925710778683424,0.0023711456451565027,0.02247224934399128,0.5236145853996277,0.0025,1.481427694670856e-05,0.8636009799109565,30.04186036851671,0.9429091453552246,0.7195459415953545,False
25,full_loss_1,25,0.005521545652300119,0.0021313822362571955,0.02112201787531376,0.5530315041542053,0.0025,1.38038641307503e-05,0.7787964714898004,29.20971171061198,0.9038492202758789,0.8230105350948681,False
