epoch_in_phase,train_bd,train_full,test_full,test_step,train_res
1,0.095734686718788,0.40862445905804634,0.370776504278183,0.3221376299858093,0.3229011203162372
2,0.09573475563665852,0.40860604867339134,0.37075674533843994,0.3221203923225403,0.32288578124716877
3,0.09573487449670211,0.40858396142721176,0.37073418498039246,0.3221007764339447,0.3228682196699083
4,0.09573503553401679,0.40856045484542847,0.37071025371551514,0.32207992672920227,0.3228482622653246
5,0.09573519233381375,0.40853582322597504,0.3706856071949005,0.3220585256814957,0.32282991325482724
6,0.0957353743724525,0.4085110314190388,0.3706616461277008,0.32203770950436594,0.3228099155239761
7,0.09573561192955822,0.4084865003824234,0.3706375062465668,0.32201670557260514,0.3227923412807286
8,0.09573577265255154,0.408461757004261,0.3706120252609253,0.3219947099685669,0.3227746143937111
9,0.09573592060478404,0.40843719989061356,0.3705882430076599,0.3219740532338619,0.3227562250569463
10,0.09573609140934422,0.4084128253161907,0.37056398391723633,0.32195294089615345,0.3227372718974948
11,0.09573623136384413,0.4083883538842201,0.3705405294895172,0.3219325184822083,0.3227182584349066
12,0.0957363777793944,0.4083639942109585,0.37051665782928467,0.32191168442368506,0.32269872780889275
13,0.09573655211133883,0.4083397388458252,0.37049224972724915,0.32189048528671266,0.322681200504303
14,0.09573670710669831,0.40831536427140236,0.37046822905540466,0.3218696307390928,0.32266243258491156
15,0.09573685764335096,0.40829120203852654,0.3704448342323303,0.32184918485581876,0.322643971350044
16,0.09573705175425858,0.40826693922281265,0.3704206943511963,0.32182828783988954,0.32262571938335893
17,0.0957371684955433,0.4082423485815525,0.3703972399234772,0.3218078751116991,0.3226068583317101
18,0.09573731708806008,0.40821851789951324,0.3703739047050476,0.32178756408393383,0.32258788757026197
19,0.09573747928952799,0.4081938825547695,0.37034982442855835,0.32176658473908903,0.32256916603073477
20,0.09573761682258919,0.40816982463002205,0.3703263998031616,0.3217461805790663,0.322550028283149
21,0.0957377420621924,0.4081522673368454,0.37031710147857666,0.3217381455004215,0.32253669705241916
22,0.09573781309882179,0.4081428349018097,0.37030845880508423,0.3217305950820446,0.32252935469150545
23,0.09573787907138467,0.40813344344496727,0.37029922008514404,0.32172252163290976,0.32252251179888847
24,0.09573795658070594,0.4081242084503174,0.37028995156288147,0.3217144712805748,0.32251521083526313
25,0.09573802303057163,0.4081147760152817,0.37028080224990845,0.32170649580657484,0.3225082283839583
26,0.09573808759450912,0.40810558572411537,0.3702719807624817,0.32169878482818604,0.3225006939377636
27,0.0957381538231857,0.4080962873995304,0.3702627420425415,0.321690733730793,0.3224942141212523
28,0.0957382263499312,0.40808695927262306,0.3702537417411804,0.32168292328715326,0.3224874295294285
29,0.09573830034350976,0.4080776758491993,0.37024426460266113,0.3216747038066387,0.32248090682551267
30,0.09573836419731378,0.408068411052227,0.37023600935935974,0.3216674715280533,0.322473191190511
31,0.0957384233828634,0.4080593138933182,0.37022703886032104,0.32165961265563964,0.3224669606424868
32,0.0957384669687599,0.40805041044950485,0.3702179789543152,0.3216517955064774,0.322460123244673
33,0.09573853509500622,0.4080413021147251,0.37020859122276306,0.32164367139339445,0.3224525940604508
34,0.09573860507225618,0.40803200379014015,0.3701992630958557,0.32163562066853046,0.3224460350815207
35,0.09573867474682629,0.4080227352678776,0.3701897859573364,0.3216273546218872,0.32243899945169685
36,0.0957387489033863,0.4080134630203247,0.37018024921417236,0.3216190986335278,0.3224315104540437
37,0.09573882082477211,0.40800414606928825,0.3701712191104889,0.32161122411489484,0.32242442648857833
38,0.09573890148894862,0.40799498558044434,0.3701624572277069,0.32160358503460884,0.3224176038056612
39,0.09573896293295547,0.4079860560595989,0.3701532483100891,0.3215956151485443,0.3224111238028854
40,0.09573904633289203,0.4079766161739826,0.3701437711715698,0.3215873695909977,0.32240454806014895
41,0.09573909346945583,0.4079703129827976,0.37014147639274597,0.3215853631496429,0.3223993610125035
42,0.09573910335311667,0.40796806290745735,0.3701390326023102,0.321583216637373,0.3223976070526987
43,0.09573912045452744,0.4079657271504402,0.3701367974281311,0.3215812541544437,0.3223960848990828
44,0.09573913395870477,0.4079633019864559,0.37013447284698486,0.3215792402625084,0.3223943658173084
45,0.09573914988432079,0.40796080976724625,0.3701322078704834,0.32157725058496,0.3223926091566682
