epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,supervised,1,0.24630694091320038,0.24193012714385986,0.43078234791755676,1.026557207107544,0.01,0.002463069409132004,1.3409186257256402,0.0,1.7547266006469726,0.19131460165776157,False
2,supervised,2,0.10681618005037308,0.09826910495758057,0.212727889418602,0.9655717015266418,0.01,0.0010681618005037308,0.7149638652801513,0.0,1.1419791221618651,0.37494807389053036,False
3,supervised,3,0.056278690695762634,0.04456057772040367,0.1386999934911728,0.9337162971496582,0.01,0.0005627869069576263,0.5229336023330688,0.0,0.6632889747619629,-0.004643805035663858,False
4,supervised,4,0.03390815854072571,0.022838318720459938,0.09670025110244751,0.8194769620895386,0.01,0.0003390815854072571,0.3032345639334785,0.0,0.46402482986450194,0.833761248734519,False
5,supervised,5,0.029974671080708504,0.019147658720612526,0.09146691113710403,0.7405920624732971,0.01,0.00029974671080708505,0.25046248700883655,0.0,0.3761082410812378,0.8040737611205149,False
6,supervised,6,0.025715859606862068,0.01669013872742653,0.07926030457019806,0.8195849657058716,0.01,0.0002571585960686207,0.24040417671203612,0.0,0.22889816761016846,0.8527974586433239,False
7,supervised,7,0.030831387266516685,0.020125960931181908,0.09322827309370041,0.743281900882721,0.01,0.00030831387266516685,0.18548687034183078,0.0,0.28529670238494875,0.48249894143966693,False
8,supervised,8,0.030235564336180687,0.020237641409039497,0.08967071771621704,0.6295895576477051,0.01,0.0003023556433618069,0.22449025842878553,0.0,0.17051537036895753,0.6441198974763283,False
9,supervised,9,0.024027107283473015,0.01648314669728279,0.07012812048196793,0.6010903120040894,0.01,0.00024027107283473015,0.21735323402616713,0.0,0.17084736824035646,0.6420242794119658,False
10,supervised,10,0.024034515023231506,0.016682952642440796,0.06947150081396103,0.5053661465644836,0.005,0.00012017257511615754,0.17115303410424126,0.0,0.13203017711639403,0.8565903265496558,False
11,supervised,11,0.02581786923110485,0.017774831503629684,0.07513938844203949,0.7262184619903564,0.005,0.00012908934615552426,0.1423017488585578,0.0,0.11353428363800049,0.8707233571829057,False
12,supervised,12,0.025544697418808937,0.017756544053554535,0.07394862174987793,0.48355838656425476,0.005,0.00012772348709404467,0.1599289443757799,0.0,0.19579039812088012,0.8696763542761596,False
13,supervised,13,0.027175849303603172,0.01899947039783001,0.0776112973690033,0.6398969292640686,0.005,0.00013587924651801587,0.12247567574183146,0.0,0.20450172424316407,-0.6290419940710704,False
14,supervised,14,0.022684145718812943,0.01612275093793869,0.06450909376144409,0.5398314595222473,0.005,0.00011342072859406471,0.1350693921248118,0.0,0.11304006576538086,0.2530192732872086,False
15,supervised,15,0.023078301921486855,0.016595391556620598,0.06486519426107407,0.5205507874488831,0.005,0.00011539150960743427,0.10304708878199259,0.0,0.11657721996307373,-0.17388605515592648,False
16,supervised,16,0.02759314514696598,0.019338831305503845,0.07980231195688248,0.5050352811813354,0.005,0.0001379657257348299,0.1325271917714013,0.0,0.08112848401069642,0.9498585405388293,False
17,supervised,17,0.024805065244436264,0.017809933051466942,0.07006647437810898,0.6231601238250732,0.005,0.00012402532622218131,0.11185367438528272,0.0,0.06973621249198914,0.6825767567546256,False
18,supervised,18,0.0252984631806612,0.018416356295347214,0.06982063502073288,0.5922479033470154,0.005,0.000126492315903306,0.10566361678971184,0.0,0.13147108554840087,0.8137787517923555,False
19,supervised,19,0.02301570028066635,0.01686330884695053,0.06320754438638687,0.4408918619155884,0.005,0.00011507850140333176,0.10683113005426195,0.0,0.08460330963134766,0.9340327861708648,False
20,supervised,20,0.02641252987086773,0.018646610900759697,0.07473766803741455,0.49558448791503906,0.0025,6.603132467716932e-05,0.09735009140438504,0.0,0.07211463451385498,0.06505590603188484,False
21,supervised,21,0.028848007321357727,0.020007982850074768,0.08414381742477417,0.9918171167373657,0.0025,7.212001830339432e-05,0.06816220084826151,0.0,0.08112969398498535,0.9022361280355777,False
22,supervised,22,0.024013003334403038,0.0178154855966568,0.06639508903026581,0.4209741950035095,0.0025,6.0032508336007596e-05,0.10125057167477078,0.0,0.08419207334518433,-0.13762232563602905,False
23,supervised,23,0.024585094302892685,0.018175316974520683,0.0681120827794075,0.4204312562942505,0.0025,6.146273575723171e-05,0.10917080508338081,0.0,0.06354266405105591,0.5323544047345146,False
24,supervised,24,0.023009078577160835,0.01745929755270481,0.06202869862318039,0.570343554019928,0.0025,5.752269644290209e-05,0.07631063262621561,0.0,0.058950185775756836,-0.8118842085618984,False
25,supervised,25,0.027320684865117073,0.019820548593997955,0.07595495879650116,0.6804547309875488,0.0025,6.830171216279268e-05,0.07636944386694167,0.0,0.0667397141456604,0.2387083229353026,False
26,supervised,26,0.024970443919301033,0.01872878149151802,0.06765223294496536,0.5907174944877625,0.0025,6.242610979825258e-05,0.07445944713221656,0.0,0.06693879961967468,0.3703394977060797,False
27,supervised,27,0.03132162243127823,0.02215314470231533,0.0908975824713707,0.48542118072509766,0.0025,7.830405607819557e-05,0.06838339500957065,0.0,0.08091435432434083,0.9789947448816129,False
28,supervised,28,0.025440778583288193,0.019139060750603676,0.06891021132469177,0.4895026683807373,0.0025,6.360194645822049e-05,0.10689355995919969,0.0,0.10956254005432128,-0.7998246148892909,False
29,supervised,29,0.02564011700451374,0.01921456679701805,0.07034091651439667,0.5532061457633972,0.0025,6.410029251128436e-05,0.07351491583718194,0.0,0.07210037708282471,0.43532532318607425,False
30,supervised,30,0.03140958398580551,0.022494293749332428,0.09067287296056747,0.536993145942688,0.00125,3.926197998225689e-05,0.07378593881924947,0.0,0.07639515399932861,0.9644460044871136,False
31,supervised,31,0.027343152090907097,0.020191723480820656,0.07581508159637451,0.5894707441329956,0.00125,3.417894011363387e-05,0.09697972734769185,0.0,0.05489710569381714,0.7004921410053153,False
32,supervised,32,0.03356095403432846,0.023644987493753433,0.0972231850028038,0.6942752599716187,0.00125,4.1951192542910576e-05,0.04866786400477092,0.0,0.05080775022506714,0.8239345902803586,False
33,supervised,33,0.03580304607748985,0.024605685845017433,0.1075894683599472,0.5947834849357605,0.00125,4.475380759686232e-05,0.04745263093047672,0.0,0.08174798488616944,0.32475856990141666,False
34,supervised,34,0.03388692066073418,0.024152344092726707,0.09820529073476791,0.482882559299469,0.00125,4.235865082591772e-05,0.0665338999695248,0.0,0.060508745908737185,0.4446822346382701,False
35,supervised,35,0.02828661911189556,0.02122560702264309,0.07739979028701782,0.4248753786087036,0.00125,3.535827388986945e-05,0.08170358604855008,0.0,0.0644722580909729,0.5835243585216704,False
36,supervised,36,0.029004450887441635,0.021299069747328758,0.08162633329629898,0.5156008005142212,0.00125,3.625556360930204e-05,0.07243095570140415,0.0,0.04778408110141754,0.9615529683327947,False
