epoch_in_phase,train_bd,train_full,test_full,test_step,train_res
1,9.793861705064774,15.131319522857666,14.773855209350586,14.242272663116456,54729.41085205078
2,9.184715831279755,15.427900671958923,10.39402961730957,10.05427417755127,36934.30986328125
3,8.196344912052155,13.052624464035034,6.356354236602783,6.2012686252594,16656.66580810547
4,7.539942181110382,11.224467039108276,3.412238597869873,3.3718737840652464,8230.666796875
5,6.802867794036866,9.94791567325592,3.058202028274536,3.0322030067443846,5263.711450195313
6,6.047494339942932,8.957281827926636,2.867219924926758,2.842705488204956,3746.5993209838866
7,5.549065721035004,8.35355520248413,2.7615370750427246,2.7376994371414183,2951.7067596435545
8,5.185738915205002,7.90921950340271,2.705857276916504,2.683717465400696,2447.856428527832
9,4.911763820052147,7.529052317142487,2.6768951416015625,2.6563563346862793,2080.5407737731935
10,4.67265714108944,7.189868092536926,2.655871868133545,2.634664535522461,1811.9145462036133
11,4.45453545153141,6.863905608654022,2.6413955688476562,2.618392825126648,1595.312710571289
12,4.249307033419609,6.577368378639221,2.624650001525879,2.5986443996429442,1425.053879547119
13,4.069806438684464,6.327324450016022,2.6062564849853516,2.5770708084106446,1287.115252685547
14,3.918755465745926,6.100411832332611,2.58601713180542,2.5541566252708434,1167.9053623199463
15,3.7780513644218443,5.90765106678009,2.5738515853881836,2.5394805669784546,1073.6922248840333
16,3.661925199627876,5.724142372608185,2.579108238220215,2.5422343254089355,998.5629196166992
17,3.545561933517456,5.541932463645935,2.563584804534912,2.5227810621261595,927.7986274719239
18,3.43446407020092,5.3786121010780334,2.544365406036377,2.4996381044387816,864.0551551818847
19,3.3425202637910845,5.242905497550964,2.5263869762420654,2.480438435077667,809.4947334289551
20,3.263286751508713,5.11017918586731,2.5047831535339355,2.4559420585632323,759.2664337158203
21,3.205323803424835,5.014340937137604,2.498699188232422,2.4486599802970885,724.1704067230224
22,3.169425755739212,4.959350347518921,2.48988676071167,2.4391056418418886,702.7633930206299
23,3.135061976313591,4.912057816982269,2.476900100708008,2.4261031985282897,682.9315441131591
24,3.1007203638553618,4.867666006088257,2.4628376960754395,2.4121745228767395,664.4705047607422
25,3.0675994619727134,4.822028934955597,2.451707363128662,2.400834560394287,646.9919155120849
26,3.035684883594513,4.776476621627808,2.44028639793396,2.3891686677932737,630.4741596221924
27,3.004355603456497,4.72987687587738,2.427456855773926,2.376468527317047,614.7676345825196
28,2.9749402910470963,4.683921277523041,2.4179883003234863,2.366487967967987,599.8651329040528
29,2.947277969121933,4.638746738433838,2.405928611755371,2.355166184902191,585.7041458129883
30,2.921648719906807,4.5974045395851135,2.396022081375122,2.344891440868378,572.617419052124
31,2.8950079560279844,4.556172549724579,2.381165027618408,2.3309510350227356,559.967794418335
32,2.8706354662775992,4.519293963909149,2.3692755699157715,2.3185927152633665,547.6941373825073
33,2.8465084567666055,4.4809539914131165,2.3551135063171387,2.3048778414726256,535.764761543274
34,2.8221754372119903,4.444339394569397,2.3415639400482178,2.2913751125335695,524.3181644439697
35,2.79792660176754,4.409751355648041,2.3267462253570557,2.277157163619995,513.2242378234863
36,2.7755466148257257,4.376834452152252,2.3153488636016846,2.2656782388687136,502.7891704559326
37,2.7545274302363394,4.342504978179932,2.303839921951294,2.2543997526168824,492.59742240905763
38,2.732026237249374,4.3102001547813416,2.290414810180664,2.241254782676697,482.6527685165405
39,2.7097176909446716,4.27894926071167,2.279787302017212,2.230723738670349,472.93970756530763
40,2.6901121512055397,4.2457281947135925,2.269435405731201,2.2204193830490113,463.514471244812
41,2.674269451200962,4.219868212938309,2.263263702392578,2.2143111705780028,456.2293846130371
42,2.664416365325451,4.204760253429413,2.2570929527282715,2.208440327644348,451.7538417816162
43,2.654748983681202,4.190040290355682,2.251460075378418,2.202870416641235,447.3796293258667
44,2.6451484605669977,4.174562186002731,2.246138572692871,2.197689163684845,442.95281505584717
45,2.6358381673693656,4.159998178482056,2.2402710914611816,2.192110013961792,438.68611278533933
46,2.6273521780967712,4.145007699728012,2.2352824211120605,2.1873246908187864,434.5307689666748
47,2.618986004590988,4.130177587270737,2.230262279510498,2.1823227524757387,430.4459390640259
48,2.6093736365437508,4.115952670574188,2.224989891052246,2.177355170249939,426.3513692855835
49,2.6003394931554795,4.10114723443985,2.2200584411621094,2.1726171374320984,422.3515214920044
50,2.5917586624622344,4.087617725133896,2.215020179748535,2.1677977204322816,418.43805103302003
51,2.5822786286473276,4.073229521512985,2.2097373008728027,2.1628620266914367,414.45909309387207
52,2.573758788406849,4.059745669364929,2.2049355506896973,2.158166790008545,410.6281812667847
53,2.5643186435103416,4.046201199293137,2.1991124153137207,2.1526593208312987,406.7172388076782
54,2.5550850465893746,4.031756728887558,2.194369316101074,2.1481125712394715,402.8905769348145
55,2.5465519934892655,4.017806053161621,2.188683032989502,2.1425334215164185,399.16039180755615
56,2.5368120327591894,4.004146367311478,2.1833267211914062,2.137422966957092,395.47113208770753
57,2.5276723593473434,3.9903436601161957,2.1776247024536133,2.1319602966308593,391.7927047729492
58,2.518625032901764,3.976357340812683,2.1716995239257812,2.126206338405609,388.09580574035647
59,2.5095207288861276,3.9624156951904297,2.165235996246338,2.1199548959732057,384.4476127624512
60,2.500295051932335,3.949022024869919,2.1593875885009766,2.1143696308135986,380.92211990356446
61,2.4926002278923987,3.9384226500988007,2.1555094718933105,2.110722875595093,378.0928789138794
62,2.48753961622715,3.9318871200084686,2.1521072387695312,2.1075291275978087,376.31860599517825
63,2.48284962028265,3.9256817400455475,2.1486611366271973,2.104230213165283,374.61030731201174
64,2.478505864739418,3.919211983680725,2.1453640460968018,2.101133370399475,372.85798397064207
65,2.473914587497711,3.912611037492752,2.142211437225342,2.0981273531913756,371.1057378768921
66,2.469154290854931,3.9058470129966736,2.138564109802246,2.0946462392807006,369.36371383666994
67,2.4645918250083922,3.898652821779251,2.135448455810547,2.09170138835907,367.5428871154785
68,2.4597190991044044,3.892522931098938,2.1318795680999756,2.088298511505127,365.78487663269044
69,2.4545395731925965,3.886298954486847,2.128443717956543,2.085085189342499,364.00156593322754
70,2.4493216410279275,3.879610449075699,2.1257011890411377,2.08253790140152,362.25308952331545
71,2.44446033090353,3.872164100408554,2.1221015453338623,2.079141402244568,360.46283016204836
72,2.4401608049869536,3.8652107417583466,2.118656635284424,2.0758103847503664,358.7305511474609
73,2.4362660706043244,3.8586559295654297,2.115018844604492,2.072320818901062,357.0233575820923
74,2.4315983608365057,3.852084994316101,2.112060546875,2.069588875770569,355.26952667236327
75,2.4267102509737013,3.845322012901306,2.1084084510803223,2.06615264415741,353.49868831634524
76,2.42206549346447,3.838760167360306,2.1050539016723633,2.0629808783531187,351.79563484191897
77,2.417341546714306,3.83257195353508,2.1011996269226074,2.0593294382095335,350.08542881011965
78,2.412831810116768,3.826009303331375,2.0976309776306152,2.0559908151626587,348.3773180007935
79,2.407840682566166,3.818806231021881,2.094217538833618,2.0527264952659605,346.6477081298828
80,2.4030140578746795,3.812490552663803,2.0909981727600098,2.0497024178504946,344.9731956481934
81,2.3994305774569513,3.807281583547592,2.089179754257202,2.047980809211731,343.63004570007325
82,2.3971125945448875,3.804038256406784,2.0877914428710938,2.046686124801636,342.80276317596434
83,2.3948995381593705,3.800745874643326,2.0864713191986084,2.045448529720306,341.94422378540037
84,2.3924965858459473,3.7975468039512634,2.0852603912353516,2.044321060180664,341.091223526001
85,2.390194424986839,3.7941523790359497,2.083413600921631,2.0425902724266054,340.2316822052002
86,2.3876902550458907,3.7904900908470154,2.0822324752807617,2.04148108959198,339.3700197219849
87,2.3852547287940977,3.786677122116089,2.080824375152588,2.0401570916175844,338.4922622680664
88,2.3829443216323853,3.7836761474609375,2.0794262886047363,2.0388357639312744,337.66765747070315
89,2.3804986447095873,3.7807210981845856,2.077984094619751,2.0374791502952574,336.81312465667725
90,2.3780844286084175,3.7776790261268616,2.0767431259155273,2.036315214633942,335.9929649353027
91,2.3760643392801284,3.774403840303421,2.075151205062866,2.0348079323768617,335.1506814956665
92,2.373976568877697,3.7708213329315186,2.0737357139587402,2.033465802669525,334.28589019775393
93,2.3717543825507166,3.7674282491207123,2.072310447692871,2.032091498374939,333.4065008163452
94,2.3695102348923682,3.7642655968666077,2.0704152584075928,2.0302748918533324,332.557693862915
95,2.367164768278599,3.7607136368751526,2.0692665576934814,2.029204988479614,331.6584810256958
96,2.364829844236374,3.7574504017829895,2.0679311752319336,2.0279332280158995,330.7903106689453
97,2.3626123160123824,3.754088044166565,2.0663676261901855,2.02645138502121,329.9257474899292
98,2.360357290506363,3.7507764399051666,2.0648086071014404,2.024967706203461,329.05162811279297
99,2.3579990193247795,3.747788578271866,2.0633955001831055,2.023645555973053,328.22516918182373
100,2.355540868639946,3.7445476055145264,2.0619430541992188,2.022284150123596,327.3539888381958
101,2.3540403306484223,3.7421444058418274,2.0608277320861816,2.021187198162079,326.6882656097412
102,2.3529194235801696,3.740727663040161,2.0601558685302734,2.0205639600753784,326.2888748168945
103,2.351608082652092,3.738554298877716,2.0594117641448975,2.01988400220871,325.84661731719973
104,2.3504964128136634,3.7365993559360504,2.0586280822753906,2.0191452264785767,325.3937654495239
105,2.3493655264377593,3.735076367855072,2.0578904151916504,2.0184538841247557,324.95279483795167
106,2.348139204084873,3.7333743572235107,2.056511878967285,2.0171267986297607,324.4918172836304
107,2.3470298543572428,3.7316791117191315,2.0555872917175293,2.016250228881836,324.017360496521
108,2.34578917324543,3.7299422919750214,2.054647445678711,2.015345311164856,323.55335502624513
109,2.3445721596479414,3.728420078754425,2.053739547729492,2.01448278427124,323.11292495727537
110,2.3434961810708046,3.7268369495868683,2.0530457496643066,2.013814163208008,322.6959846496582
111,2.3423939645290375,3.725243777036667,2.0521280765533447,2.0129509925842286,322.23352947235105
112,2.3413164034485816,3.7235862016677856,2.051287889480591,2.01217257976532,321.7739501953125
113,2.339977924525738,3.721613824367523,2.0507869720458984,2.0117043614387513,321.3298141479492
114,2.33874581605196,3.7194956243038177,2.05006742477417,2.0110318660736084,320.8431722640991
115,2.3375769212841986,3.7177687883377075,2.0490269660949707,2.010023283958435,320.3855781555176
116,2.336378073692322,3.716108053922653,2.0482187271118164,2.009268116950989,319.92592735290526
117,2.3353969499468805,3.714471757411957,2.047297954559326,2.008407950401306,319.48932189941405
118,2.334030905365944,3.7126204669475555,2.0464730262756348,2.0076187372207643,319.0274194717407
119,2.333045542240143,3.7109632194042206,2.0456008911132812,2.006805157661438,318.5809692382812
120,2.3318352892994882,3.7093486189842224,2.044908285140991,2.0061577200889587,318.1124704360962
