epoch_in_phase,train_bd,train_full,test_full,test_step,train_res
1,1.3185023963451385,11.382124781608582,2.5816516876220703,2.573980188369751,1170.6724136352539
2,1.3185024954378606,11.382000207901001,2.5816092491149902,2.5739365339279177,1170.5386817932128
3,1.3184952713549136,11.381858110427856,2.5814990997314453,2.57382652759552,1170.4763202667236
4,1.3185113497078418,11.381727933883667,2.581397533416748,2.5737266063690187,1170.4193607330321
5,1.3185554146766663,11.381635308265686,2.5814547538757324,2.5737852573394777,1170.2060455322267
6,1.3185390204191207,11.38148832321167,2.5813326835632324,2.5736620903015135,1170.2899787902832
7,1.31857687830925,11.381378173828125,2.5812830924987793,2.573611831665039,1170.139793777466
8,1.3185818664729596,11.381310105323792,2.5811948776245117,2.5735238790512085,1170.1198062896729
9,1.318594568222761,11.381259441375732,2.5811073780059814,2.5734345436096193,1170.0841934204102
10,1.3185910135507584,11.38114058971405,2.5810608863830566,2.573389744758606,1170.1001846313477
11,1.3186094969511033,11.381085872650146,2.5810437202453613,2.573370575904846,1169.8732975006103
12,1.318673664331436,11.380955576896667,2.5810317993164062,2.5733606576919557,1169.7255882263185
13,1.3186580948531628,11.380703568458557,2.581024169921875,2.5733532905578613,1169.8236618041992
14,1.3186567105352878,11.380637764930725,2.5808963775634766,2.573223423957825,1169.7184429168701
15,1.318703592568636,11.380595803260803,2.5808753967285156,2.5732023239135744,1169.6558597564697
16,1.318729244172573,11.380533695220947,2.580883502960205,2.573212766647339,1169.6392879486084
17,1.318748765438795,11.380422472953796,2.580735206604004,2.573064184188843,1169.5889526367187
18,1.3187553964555263,11.380313277244568,2.580695629119873,2.5730240821838377,1169.6612487792968
19,1.3187937781214714,11.380269169807434,2.580702066421509,2.573029637336731,1169.4478870391845
20,1.3187962025403976,11.380186080932617,2.5806596279144287,2.572985816001892,1169.468925857544
21,1.3188094422221184,11.380110740661621,2.580667495727539,2.5729957818984985,1169.4115047454834
22,1.3188274554908275,11.380146741867065,2.5806338787078857,2.57296199798584,1169.2382598876952
23,1.318825049698353,11.38009250164032,2.5806026458740234,2.5729314565658568,1169.35094871521
24,1.318820846825838,11.38007664680481,2.580594539642334,2.572924280166626,1169.3220516204833
25,1.3188551306724547,11.380016803741455,2.5805397033691406,2.572869086265564,1169.2891727447509
26,1.318856804817915,11.379994869232178,2.5805552005767822,2.5728850603103637,1169.1913059234619
27,1.3188320010900498,11.379956841468811,2.5805232524871826,2.572852349281311,1169.226511001587
28,1.3188408441841601,11.37997019290924,2.580509662628174,2.572840356826782,1169.3178634643555
29,1.31884685754776,11.379954099655151,2.580500364303589,2.572829532623291,1169.2311378479003
30,1.3188899792730808,11.379922747612,2.5804758071899414,2.5728036403656005,1169.2074375152588
31,1.3188561357557773,11.379874587059021,2.580477714538574,2.572806644439697,1169.1259929656983
32,1.3188561893999577,11.379847168922424,2.5804452896118164,2.5727755069732665,1169.2226707458497
33,1.3188695706427098,11.379845261573792,2.580427646636963,2.572756123542786,1169.1948665618897
34,1.3188922859728336,11.379819750785828,2.580390691757202,2.5727202177047728,1169.1045288085938
35,1.3188668824732304,11.379778265953064,2.5804266929626465,2.572756290435791,1169.1510570526123
36,1.3188934274017812,11.37978994846344,2.5804100036621094,2.572739863395691,1169.1003086090088
37,1.318880234658718,11.379769563674927,2.5803840160369873,2.572713279724121,1169.0829544067383
38,1.3189026974141598,11.379724144935608,2.5803885459899902,2.572717547416687,1169.1096126556397
39,1.318874394148588,11.379660248756409,2.5803885459899902,2.572717618942261,1169.0480033874512
40,1.3189118482172488,11.37968111038208,2.580331325531006,2.572661280632019,1168.9345096588136
41,1.3189294055104255,11.379696607589722,2.5802788734436035,2.572607707977295,1169.0027122497559
42,1.3189371779561043,11.379688262939453,2.5803184509277344,2.5726489067077636,1168.9889808654784
43,1.3189194910228252,11.37964117527008,2.580305576324463,2.572635316848755,1168.9664684295653
44,1.3188895374536513,11.379647850990295,2.580301284790039,2.572632670402527,1168.8763927459718
45,1.318922007828951,11.379644513130188,2.580336093902588,2.5726670026779175,1168.9716873168945
46,1.3189435452222824,11.379637479782104,2.580293655395508,2.5726230144500732,1168.9174224853516
47,1.3189218886196614,11.379619240760803,2.5803165435791016,2.572647953033447,1168.9560298919678
48,1.3189443685114384,11.379585981369019,2.5802650451660156,2.5725939750671385,1168.8515045166016
49,1.318935014307499,11.379597187042236,2.580267906188965,2.5725988388061523,1168.932973098755
50,1.3189196810126305,11.379587292671204,2.5803096294403076,2.572640228271484,1168.8568759918212
51,1.3189326502382754,11.379580020904541,2.580268383026123,2.5725988149642944,1168.8426654815673
52,1.3189467258751393,11.379567861557007,2.5802695751190186,2.5725982904434206,1169.0748386383057
53,1.318918950110674,11.379559755325317,2.5802316665649414,2.5725603342056274,1168.9030212402345
54,1.3189188286662101,11.379539012908936,2.5802974700927734,2.5726272583007814,1168.9115776062013
55,1.3189256750047207,11.379523515701294,2.580258846282959,2.5725876092910767,1168.752995300293
56,1.31890579611063,11.379493713378906,2.580249309539795,2.5725796699523924,1168.9497882843018
57,1.3189305506646634,11.37949252128601,2.580249547958374,2.5725788354873655,1168.867878341675
58,1.3189719580113888,11.379525542259216,2.580254554748535,2.5725851535797117,1168.7568531036377
59,1.31895654797554,11.379525542259216,2.5802416801452637,2.572573018074036,1168.8059329986572
60,1.3189400613307953,11.379526019096375,2.580239772796631,2.5725684642791746,1168.8792198181152
61,1.3189516864717006,11.37947130203247,2.580270767211914,2.5726009607315063,1168.7898426055908
62,1.318927800655365,11.379458665847778,2.580259323120117,2.5725914001464845,1168.8477291107179
63,1.3189399600028993,11.379499554634094,2.5802407264709473,2.5725712060928343,1168.8067584991454
64,1.3189547553658485,11.379512071609497,2.5802454948425293,2.5725743770599365,1168.9714225769044
65,1.3189519308507442,11.379494547843933,2.580221652984619,2.5725514888763428,1168.8607215881348
66,1.3189445443451404,11.379496455192566,2.5802128314971924,2.5725420236587526,1168.8877002716065
67,1.318955484032631,11.379472732543945,2.580260753631592,2.572593355178833,1168.7774463653564
68,1.3189613550901413,11.379456520080566,2.580235004425049,2.5725640773773195,1168.7905670166015
69,1.3189835123717786,11.379465818405151,2.5802547931671143,2.572585034370422,1168.9487373352051
70,1.3189680084586144,11.379486441612244,2.5801939964294434,2.572524166107178,1168.7862365722656
71,1.3189860001206397,11.379472017288208,2.5802621841430664,2.5725934743881225,1168.7806636810303
72,1.3189570412039757,11.379469156265259,2.5802361965179443,2.572566509246826,1168.8821475982666
73,1.318950116634369,11.379449725151062,2.5802433490753174,2.572575569152832,1168.8834133148193
74,1.318961226940155,11.379464507102966,2.580209255218506,2.572537922859192,1168.8246070861817
75,1.3189651861786842,11.3794527053833,2.5802392959594727,2.5725721597671507,1168.7952590942382
76,1.3189553938806058,11.379478454589844,2.5802009105682373,2.5725319147109986,1168.7928112030029
77,1.3189539059996604,11.379449725151062,2.580207586288452,2.572537565231323,1168.7002239227295
78,1.3189732238650322,11.379438400268555,2.580209255218506,2.572538232803345,1168.8356044769287
79,1.3189670018851758,11.379460453987122,2.580246925354004,2.5725784063339234,1168.760311126709
80,1.3189480252563954,11.379457950592041,2.5802037715911865,2.572534418106079,1168.8341621398927
81,1.318977290391922,11.379445791244507,2.5802087783813477,2.5725385189056396,1168.8571800231935
82,1.318961301445961,11.37946903705597,2.5802464485168457,2.57257661819458,1168.7941440582276
83,1.318949530273676,11.379451990127563,2.5801820755004883,2.5725114583969115,1168.7454891204834
84,1.3189545720815659,11.379443526268005,2.580177068710327,2.572505021095276,1168.8999763488769
85,1.3189665079116821,11.379443168640137,2.580212116241455,2.5725393533706664,1168.804581451416
86,1.3189561061561108,11.37947428226471,2.580214738845825,2.5725449562072753,1168.8973526000977
87,1.3189452044665813,11.379454970359802,2.5802483558654785,2.5725783586502073,1168.8516788482666
88,1.3189759708940982,11.379449248313904,2.5801808834075928,2.572511339187622,1168.8097999572753
89,1.318962163478136,11.379432201385498,2.580188751220703,2.572519326210022,1168.8558925628663
90,1.3189781956374644,11.379452586174011,2.580199718475342,2.572529697418213,1168.810372543335
91,1.318952787667513,11.379448652267456,2.580221652984619,2.572551703453064,1168.895821762085
92,1.318940407782793,11.37948226928711,2.580244302749634,2.57257285118103,1168.866457748413
93,1.318974355608225,11.37945020198822,2.580198287963867,2.572528100013733,1168.8990051269532
94,1.3189695008099078,11.37945556640625,2.580173969268799,2.572502875328064,1168.797261428833
95,1.3189802892506122,11.379472851753235,2.5802111625671387,2.5725417852401735,1168.8961612701416
96,1.3189719289541244,11.379430174827576,2.580198287963867,2.572527265548706,1168.8063632965088
97,1.3189590454101563,11.37945020198822,2.5801806449890137,2.572512459754944,1168.8987323760987
98,1.3189518086612224,11.379434704780579,2.5802323818206787,2.5725611448287964,1168.8054752349854
99,1.318971372395754,11.379442930221558,2.5802173614501953,2.5725467443466186,1168.8527824401856
100,1.3189406879246235,11.379440188407898,2.580211639404297,2.572541928291321,1168.8622913360596
