epoch_in_phase,train_bd,train_full,test_full,test_step,train_res
1,1.317827083170414,3.8761374056339264,2.0808157920837402,2.014968729019165,508.4367742538452
2,1.317871991544962,3.876253604888916,2.080770492553711,2.014941465854645,508.4206075668335
3,1.3178594000637531,3.8761352598667145,2.080561637878418,2.014741086959839,508.4047264099121
4,1.3178703509271146,3.8761174380779266,2.0805134773254395,2.014693796634674,508.39121131896974
5,1.317769355326891,3.8761048018932343,2.080533981323242,2.0147220730781554,508.4035078048706
6,1.317911445349455,3.876018524169922,2.0805840492248535,2.0147742867469787,508.36320743560793
7,1.3178630873560906,3.8760134279727936,2.0805234909057617,2.0147252440452577,508.34297313690183
8,1.317877295613289,3.8759747445583344,2.0805540084838867,2.0147444009780884,508.29611110687256
9,1.317868521809578,3.8758063316345215,2.0805721282958984,2.014769673347473,508.26610527038576
10,1.317898339033127,3.8758403062820435,2.080518960952759,2.014703702926636,508.23860359191895
11,1.317904356867075,3.8756746649742126,2.080392837524414,2.0145920753479003,508.2381669998169
12,1.317846031486988,3.875592827796936,2.080348014831543,2.014552450180054,508.1682987213135
13,1.3178755581378936,3.875662922859192,2.0801022052764893,2.0143214583396913,508.19009895324706
14,1.317845346033573,3.8755920827388763,2.0800962448120117,2.0142998456954957,508.153116607666
15,1.3178625851869583,3.8754807114601135,2.0801429748535156,2.0143436551094056,508.13355293273924
16,1.3178900375962257,3.8754894137382507,2.0801193714141846,2.014313578605652,508.12671489715575
17,1.3178700789809228,3.875412940979004,2.0800042152404785,2.0142199754714967,508.0463165283203
18,1.317921842634678,3.875299423933029,2.0799827575683594,2.0141865491867064,508.0323345184326
19,1.3179288506507874,3.8752367794513702,2.0799715518951416,2.014184844493866,507.9801439285278
20,1.3179032012820244,3.875253438949585,2.0798909664154053,2.014118993282318,507.97868824005127
21,1.3179571375250816,3.87528532743454,2.079906940460205,2.014142405986786,508.0078353881836
22,1.3179118305444717,3.875131279230118,2.0799121856689453,2.0141668915748596,507.92657604217527
23,1.3179262332618236,3.875204175710678,2.079799175262451,2.014022159576416,507.9369174957275
24,1.3179344907402992,3.8752523064613342,2.079899787902832,2.014118027687073,507.96062717437746
25,1.3178945168852807,3.8750240206718445,2.080030679702759,2.014276397228241,507.92458057403564
26,1.317859088629484,3.875217318534851,2.0799574851989746,2.0141913414001467,507.935919380188
27,1.3179524645209313,3.8750905990600586,2.0798096656799316,2.0140523314476013,507.9441394805908
28,1.3179674685001372,3.875113934278488,2.0798611640930176,2.0140779614448547,507.90604133605956
29,1.3180173106491566,3.8751291632652283,2.079878807067871,2.0141093134880066,507.9304578781128
30,1.317928183078766,3.875093102455139,2.0798802375793457,2.0141101360321043,507.9134548187256
31,1.3179353535175324,3.875040501356125,2.079819679260254,2.014054775238037,507.88146743774416
32,1.3179701939225197,3.875075250864029,2.0796871185302734,2.013932991027832,507.9156684875488
33,1.3179615676403045,3.874910980463028,2.0797524452209473,2.0139955997467043,507.84830169677736
34,1.3178639493882656,3.87494620680809,2.079819679260254,2.0140659689903258,507.86316776275635
