epoch_in_phase,train_bd,train_full,test_full,test_step
1,0.012882963119773194,0.2011236622929573,0.1696629375219345,0.16299297660589218
2,0.012540058325976133,0.20078223757445812,0.16721278429031372,0.16074531599879266
3,0.011580456595402211,0.19980975426733494,0.1697409749031067,0.16310581043362618
4,0.011314418702386319,0.2006308250129223,0.16805905103683472,0.16153360083699225
5,0.011333907290827483,0.20020799711346626,0.16811233758926392,0.16152136474847795
6,0.01153043151134625,0.2005310095846653,0.16971495747566223,0.1631191998720169
7,0.01157186278142035,0.2002706378698349,0.17069171369075775,0.1640067845582962
8,0.01127547244541347,0.2005723025649786,0.16918602585792542,0.162438802421093
9,0.011419207556173205,0.20021425560116768,0.17007485032081604,0.16336732506752014
10,0.011196876713074743,0.20039201527833939,0.16748139262199402,0.16095651015639306
11,0.011453179735690355,0.20045269094407558,0.16853909194469452,0.1618522137403488
12,0.011899619724135845,0.20080315321683884,0.16896627843379974,0.16239952370524408
13,0.010896006447728724,0.20001026801764965,0.17076772451400757,0.16411462277173997
14,0.01139365360722877,0.1996019296348095,0.1694294810295105,0.16271985769271852
15,0.010790489969076588,0.20107978023588657,0.1698031723499298,0.16320060640573503
16,0.010996903805062175,0.20077037252485752,0.16758011281490326,0.16099512726068496
17,0.011448001541430131,0.20009880512952805,0.1668991893529892,0.16037224233150482
18,0.011540690890979022,0.19976495578885078,0.16894623637199402,0.16229274421930312
19,0.011389642831636593,0.19964497722685337,0.1697062849998474,0.16302184462547303
20,0.01149175917962566,0.1998936627060175,0.16898339986801147,0.16226587891578675
21,0.01099325527320616,0.20034604333341122,0.16982322931289673,0.16312609985470772
22,0.010678155592177063,0.2010018602013588,0.16958221793174744,0.16283263862133027
23,0.010452551575144752,0.19958039186894894,0.17058205604553223,0.16377009600400924
24,0.010622028628131375,0.1998071577399969,0.16880294680595398,0.1621015340089798
25,0.010574048437410966,0.20047514140605927,0.17086420953273773,0.16408550143241882
26,0.011012330453377217,0.20022237673401833,0.1671772599220276,0.16062496602535248
27,0.010537294129608198,0.20059889554977417,0.170848086476326,0.16411332339048385
28,0.010218907607486472,0.20042146928608418,0.16956064105033875,0.16290171891450883
29,0.010586500650970266,0.20042335614562035,0.16865193843841553,0.16204348504543303
30,0.010483136516995728,0.20034834183752537,0.16998863220214844,0.16322291940450667
31,0.010219843866070732,0.19995981454849243,0.16914060711860657,0.1624000146985054
32,0.010324737516930327,0.2001542504876852,0.16771206259727478,0.16108102947473527
33,0.010416378860827535,0.20025469362735748,0.1692914217710495,0.16251866295933723
34,0.010451179184019565,0.20034054294228554,0.168430358171463,0.1617787405848503
35,0.01016946045565419,0.20053800381720066,0.16796056926250458,0.161285250633955
36,0.010654537269147113,0.20055921003222466,0.1690722405910492,0.16234819442033768
37,0.010132721799891442,0.1992930918931961,0.1677037477493286,0.161021389067173
38,0.010074162640376017,0.19951645471155643,0.1691560298204422,0.16247426122426986
39,0.010815687128342688,0.20074809528887272,0.17018064856529236,0.16338978856801986
40,0.010643375245854259,0.2005332764238119,0.16874699294567108,0.16200855523347854
41,0.010463324002921581,0.20058793760836124,0.16724209487438202,0.16062128841876983
42,0.010323595348745584,0.2000109925866127,0.1683836281299591,0.16164971515536308
43,0.010073187295347452,0.19974429532885551,0.16893646121025085,0.16224527209997178
44,0.010092970519326627,0.20001758262515068,0.16905000805854797,0.1623208239674568
45,0.010447654593735933,0.20007371343672276,0.1679253727197647,0.16135820299386977
46,0.010094950580969453,0.19998135790228844,0.1689392328262329,0.1622442275285721
47,0.009850693237967788,0.19995416142046452,0.16941407322883606,0.16270283311605455
48,0.010143254941795021,0.20018274523317814,0.16778415441513062,0.16112920194864272
49,0.010486421477980911,0.2008415013551712,0.1668873131275177,0.16033354997634888
50,0.010050534585025162,0.19977272860705853,0.16834235191345215,0.16178257912397384
51,0.009922656958224252,0.1999600175768137,0.16958647966384888,0.16279762759804725
52,0.010081125708529726,0.19990623369812965,0.17030566930770874,0.16356482058763505
53,0.010306945035699755,0.20005323365330696,0.1684722602367401,0.16174479871988295
54,0.009999480616534129,0.20017194747924805,0.17037630081176758,0.16361104398965837
55,0.009865138033637777,0.2000613957643509,0.17040807008743286,0.16363806873559952
56,0.009811727562919259,0.19946281984448433,0.1696649193763733,0.16297297775745392
57,0.010059187351725996,0.19981140829622746,0.1673133373260498,0.1607313871383667
58,0.009952028305269778,0.1997604239732027,0.16801007091999054,0.16140915602445602
59,0.009930846287170425,0.19992256350815296,0.16902998089790344,0.16229323223233222
60,0.01043083380209282,0.2003668062388897,0.16830763220787048,0.16162308901548386
61,0.009935045684687793,0.20038442686200142,0.1712968945503235,0.16446432173252107
62,0.009562993759755046,0.19966452196240425,0.1679704487323761,0.16137214601039887
63,0.009973164141410962,0.20055310986936092,0.16962766647338867,0.16292575150728225
64,0.01018674832303077,0.20023460872471333,0.16794604063034058,0.16134826093912125
65,0.010145507368724794,0.19997209683060646,0.16710296273231506,0.1606369972229004
66,0.009801242005778477,0.19965378381311893,0.16868796944618225,0.16199999451637268
67,0.009893134259618819,0.2000954020768404,0.16872218251228333,0.1620783433318138
68,0.010235177329741418,0.2004391197115183,0.17089566588401794,0.1640825554728508
69,0.010049719194648787,0.19987479224801064,0.16772308945655823,0.16113363951444626
70,0.010007076687179506,0.20025152154266834,0.1701168417930603,0.16339975744485855
71,0.00981748427147977,0.1998605951666832,0.1722070872783661,0.165356607735157
72,0.009867165266769007,0.2000076286494732,0.16796162724494934,0.16127799302339554
73,0.0098286657826975,0.1999796014279127,0.1684218794107437,0.16179379522800447
74,0.00995820639654994,0.20024434849619865,0.16930177807807922,0.16256006956100463
75,0.01003457700717263,0.2003411129117012,0.1706342101097107,0.16382842659950256
76,0.009952976484782994,0.19990196079015732,0.16956491768360138,0.1628080278635025
77,0.009899429162032902,0.19997496902942657,0.1677044928073883,0.16106119900941848
78,0.009833852271549403,0.20049966126680374,0.1688215285539627,0.16210329309105873
