epoch_in_phase,train_bd,loss_full
1,1.463468325138092,1.318170189857483
2,1.5863084554672242,0.9676046371459961
3,1.6361791491508484,0.8727601766586304
4,1.2852341413497925,0.5782635807991028
5,0.9708309531211853,0.47156935930252075
6,0.7254808723926545,0.4001523554325104
7,0.5385734260082244,0.3275315761566162
8,0.3973273426294327,0.26378971338272095
9,0.35772254765033723,0.2695533335208893
10,0.3203436076641083,0.2626773416996002
11,0.26056990027427673,0.2318836897611618
12,0.19895913898944856,0.19230832159519196
13,0.17840943187475206,0.20065312087535858
14,0.1405114233493805,0.22782550752162933
15,0.12609481140971185,0.2160336822271347
16,0.14316077008843422,0.18084494769573212
17,0.13328239247202872,0.17428985238075256
18,0.13103045150637627,0.1928257793188095
19,0.08942710459232331,0.2065422683954239
20,0.09176601618528366,0.19741694629192352
21,0.08853881396353244,0.16505911946296692
22,0.08673810437321663,0.1658157855272293
23,0.08585083931684494,0.17854756116867065
24,0.07345910221338273,0.18562588095664978
25,0.08889868631958961,0.18352875113487244
26,0.07103069722652436,0.17297761142253876
27,0.075544922798872,0.164932981133461
28,0.07131232395768165,0.16519366204738617
29,0.05773985330015421,0.1734459102153778
30,0.06287016272544861,0.17435139417648315
31,0.05695273019373417,0.16487976908683777
32,0.054500491730868815,0.16431118547916412
33,0.051546003110706805,0.1612296849489212
34,0.04831506200134754,0.16739793121814728
35,0.043623320385813714,0.16476322710514069
36,0.04614336881786585,0.1666896492242813
37,0.04755040667951107,0.16356849670410156
38,0.038122907280921936,0.16398507356643677
39,0.03871425148099661,0.16162213683128357
40,0.05215031504631042,0.16646583378314972
41,0.05702937841415405,0.1702115684747696
42,0.040171613544225694,0.16582271456718445
43,0.033424650132656095,0.158233642578125
44,0.04400748014450073,0.1566942185163498
45,0.03919619768857956,0.16033801436424255
46,0.028327053971588613,0.16681832075119019
47,0.030755172856152056,0.16775183379650116
48,0.0316731832921505,0.1633530855178833
49,0.028082538023591043,0.15748907625675201
50,0.026540807634592056,0.15767811238765717
51,0.030829272232949734,0.1614476442337036
52,0.02610363345593214,0.1643357276916504
53,0.029759308136999608,0.16496790945529938
54,0.029002296924591064,0.1606503129005432
55,0.024071637727320194,0.15526226162910461
56,0.027032001130282878,0.1554511934518814
57,0.02434686329215765,0.16153232753276825
58,0.025594329461455345,0.16373378038406372
59,0.026763038896024226,0.1603872925043106
60,0.018756614066660404,0.15537311136722565
61,0.02239601295441389,0.15537379682064056
62,0.018483138736337425,0.15758976340293884
63,0.01652781739830971,0.1599925458431244
64,0.01833281610161066,0.1599976122379303
65,0.016316654998809098,0.15885195136070251
66,0.016670718695968388,0.15791963040828705
67,0.018004959728568793,0.15656065940856934
68,0.0145205101929605,0.15645019710063934
69,0.015804624557495116,0.15821270644664764
70,0.01611404223367572,0.15871140360832214
71,0.014348929561674596,0.1577463448047638
72,0.015850149281322955,0.15789476037025452
73,0.011626062169671058,0.1569887101650238
74,0.014940890949219465,0.1565045863389969
75,0.014082279615104198,0.15779881179332733
76,0.012444299925118685,0.15837325155735016
77,0.014532748516649008,0.15694202482700348
78,0.011572340037673712,0.15620079636573792
79,0.012992134504020213,0.15726596117019653
80,0.012972722854465246,0.1575000286102295
81,0.013990176655352116,0.1575368195772171
82,0.013922792114317416,0.15696386992931366
83,0.010168924042955042,0.15615670382976532
84,0.011123284883797168,0.15615597367286682
85,0.01086167823523283,0.15680749714374542
86,0.010559845808893442,0.15721090137958527
87,0.008480368088930846,0.15724992752075195
88,0.009761053882539273,0.1573949009180069
89,0.009847346181049942,0.15695875883102417
90,0.008297127252444626,0.15607407689094543
91,0.008548904629424214,0.15601666271686554
92,0.009011414600536227,0.1566154956817627
93,0.007767808251082897,0.15687556564807892
94,0.008781742490828037,0.15707063674926758
95,0.007499356614425778,0.1568189561367035
96,0.007854398945346475,0.15632665157318115
97,0.007585259666666388,0.15627291798591614
98,0.007221073051914573,0.1565440446138382
99,0.007180466596037149,0.15642981231212616
100,0.007053996110334993,0.15632368624210358
101,0.0070562881883233786,0.15665066242218018
102,0.006369145051576197,0.15656879544258118
103,0.006610062322579324,0.15629497170448303
104,0.006624371325597167,0.15621694922447205
105,0.006662331195548177,0.15624740719795227
106,0.006338831502944231,0.15621693432331085
107,0.007032580953091383,0.156372532248497
108,0.006631784490309656,0.15658201277256012
109,0.005972241307608784,0.15646518766880035
110,0.006604034919291735,0.15625035762786865
111,0.005803066422231495,0.15624798834323883
112,0.005982238217256963,0.15617120265960693
113,0.005818390427157283,0.156020849943161
114,0.005707121943123639,0.1562795788049698
115,0.00560109643265605,0.15635110437870026
116,0.005299662752076983,0.15627263486385345
117,0.006038185418583452,0.1562131643295288
118,0.005614769761450589,0.15595243871212006
119,0.006301999604329467,0.15606489777565002
120,0.006564412778243422,0.15631896257400513
121,0.005735124810598791,0.15625867247581482
122,0.005598168680444359,0.15610650181770325
123,0.004948939895257354,0.1559811681509018
124,0.005355764320120216,0.15607577562332153
125,0.005184099031612277,0.15611539781093597
126,0.005010527395643294,0.1559973806142807
127,0.0052843635436147455,0.15597641468048096
128,0.004778005741536617,0.15610603988170624
129,0.004928546235896647,0.1561441272497177
130,0.004858115222305059,0.15606702864170074
131,0.004585553612560034,0.15603473782539368
132,0.00475609905552119,0.15602408349514008
133,0.004464973555877804,0.15596738457679749
134,0.0044619826367124915,0.155971959233284
135,0.004380238964222372,0.15604448318481445
136,0.0042304001748561856,0.15598717331886292
137,0.0042699656914919615,0.15590839087963104
138,0.004098492080811411,0.15597081184387207
139,0.004173759266268462,0.1559939980506897
140,0.004054395318962634,0.15593965351581573
141,0.004030592483468353,0.1559458076953888
142,0.003928347025066614,0.15597236156463623
143,0.0039261907455511395,0.15597015619277954
144,0.003913420380558819,0.1559324562549591
145,0.003859041805844754,0.15592162311077118
146,0.003854904416948557,0.1559518575668335
147,0.003791599546093494,0.15593421459197998
148,0.003789787320420146,0.15587002038955688
149,0.0037295745103619994,0.15589262545108795
150,0.003709333448205143,0.15593427419662476
151,0.0036726523307152093,0.1559143215417862
152,0.0036685909726656973,0.155872642993927
153,0.003620160894934088,0.15587206184864044
154,0.003655115026049316,0.15590104460716248
155,0.003607823047786951,0.1559174358844757
156,0.0035663354443386196,0.15589319169521332
157,0.0035271931905299426,0.15585480630397797
158,0.0034951796871609984,0.15586647391319275
159,0.0034914245596155526,0.15589602291584015
160,0.003427740465849638,0.15586312115192413
161,0.003403555369004607,0.15586721897125244
162,0.0033591587911359967,0.15586037933826447
163,0.0033633911050856115,0.15584003925323486
164,0.0033418326056562364,0.15583248436450958
165,0.0033204251900315284,0.15584500133991241
166,0.003306533768773079,0.15584696829319
167,0.0032882923376746477,0.15583856403827667
168,0.0032790144789032636,0.15582844614982605
169,0.003249282855540514,0.155840203166008
170,0.0032474439474754037,0.15585339069366455
171,0.003209592879284173,0.15583570301532745
172,0.003211054438725114,0.15580986440181732
173,0.003183870005887002,0.15581177175045013
174,0.003180659213103354,0.1558404266834259
175,0.0031586833880282938,0.15583613514900208
176,0.003129622095730156,0.15580600500106812
177,0.0031052092206664385,0.15579812228679657
178,0.0030893626855686305,0.15580224990844727
179,0.003064122051000595,0.1558062583208084
180,0.0030502096633426845,0.15580034255981445
181,0.0030216239974834025,0.15578943490982056
182,0.0030033024959266186,0.1557893306016922
183,0.0029998462181538344,0.1557927131652832
184,0.0029879958485253153,0.15579338371753693
185,0.002968339913059026,0.1557854413986206
186,0.0029614413389936088,0.15577752888202667
187,0.0029553720145486296,0.1557784080505371
188,0.0029312961269170046,0.15578556060791016
189,0.00293193751713261,0.15577472746372223
190,0.0029241286334581672,0.15577836334705353
191,0.0028999690432101486,0.15578380227088928
192,0.002890333626419306,0.1557638943195343
193,0.0028734378167428075,0.1557651162147522
194,0.0028553103271406143,0.1557784080505371
195,0.00284806297859177,0.15576493740081787
196,0.0028315630974248053,0.15576201677322388
197,0.002822196058696136,0.15576398372650146
198,0.002807383262552321,0.15574753284454346
199,0.00279684936394915,0.15574662387371063
200,0.002783580857794732,0.1557619422674179
