stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,fc1.bias,0.9,0.999,0.01,1e-08,0.00746822590008378,0.21345104277133942,0.05203394591808319,1.2917343075475587,0.007712687521103379,56.57570784085184,1775828733.3166933
full_loss_1,full_loss_2,fc2.weight,0.9,0.999,0.01,1e-08,0.12855735421180725,3.756772994995117,1.647390604019165,0.7023326374951833,0.013873910454664438,42.34056872152105,1775828733.3168085
full_loss_1,full_loss_2,fc2.bias,0.9,0.999,0.01,1e-08,1.8855087757110596,23.61205291748047,24.161968231201172,0.7023260199260357,0.032375450255440454,18.144351291591143,1775828733.316914
full_loss_2,full_loss_3,fc0.weight,0.9,0.999,0.01,1e-08,0.0021439066622406244,0.03939889371395111,0.03877874091267586,0.49757056329182986,0.031140596881373234,21.443011090174416,1775828744.5629184
full_loss_2,full_loss_3,fc0.bias,0.9,0.999,0.01,1e-08,1.5232307077894802e-06,1.837542004068382e-05,9.8496675491333e-06,1.3918312379467455,0.016959050333350236,24.652561932079912,1775828744.5630443
full_loss_2,full_loss_3,conv0.weights1,0.9,0.999,0.01,1e-08,1.472105759603437e-05,8.333412552019581e-05,0.00010260757699143142,1.291225472404907,0.038955950058309305,11.203604748736584,1775828744.5703197
full_loss_2,full_loss_3,conv1.weights1,0.9,0.999,0.01,1e-08,3.266787462052889e-05,0.00019775789405684918,0.00021749660663772374,1.3517952062704508,0.034796527875644266,12.219806157102123,1775828744.5776763
full_loss_2,full_loss_3,conv2.weights1,0.9,0.999,0.01,1e-08,4.038915358250961e-05,0.00028021566686220467,0.0002602925815153867,1.396514563457062,0.029389123368823544,14.198192917966988,1775828744.5850003
full_loss_2,full_loss_3,conv3.weights1,0.9,0.999,0.01,1e-08,3.832668880932033e-05,0.00027202858473174274,0.00023952934134285897,1.4400749232223102,0.027858737583446907,14.71076196317325,1775828744.5931754
full_loss_2,full_loss_3,w0.weight,0.9,0.999,0.01,1e-08,0.0003258323995396495,0.005117324646562338,0.0031984811648726463,0.9168387880929636,0.019775072464533385,26.381306820488007,1775828744.593675
full_loss_2,full_loss_3,w0.bias,0.9,0.999,0.01,1e-08,2.0163843927889502e-09,4.2491446805570376e-08,8.847564458847046e-09,2.050893070791411,0.006587630806854707,49.174806222997454,1775828744.5938475
full_loss_2,full_loss_3,w1.weight,0.9,0.999,0.01,1e-08,0.0007184292189776897,0.008581500500440598,0.005763111636042595,1.1219395663342102,0.02124765744190392,22.17971298199715,1775828744.5941389
full_loss_2,full_loss_3,w1.bias,0.9,0.999,0.01,1e-08,3.5089771088792077e-09,5.7107289563873564e-08,2.0489096641540527e-08,1.5412711092776235,0.011351177474455595,34.45546156858103,1775828744.5942986
full_loss_2,full_loss_3,w2.weight,0.9,0.999,0.01,1e-08,0.0009958191076293588,0.010873530991375446,0.006914111319929361,1.2962435160010632,0.020117917682966478,21.647065014054338,1775828744.5945792
full_loss_2,full_loss_3,w2.bias,0.9,0.999,0.01,1e-08,6.172912847546286e-09,7.964665371673618e-08,5.960464477539063e-08,0.9320629923099845,0.02367687455626063,21.79989761005607,1775828744.5947344
full_loss_2,full_loss_3,w3.weight,0.9,0.999,0.01,1e-08,0.0013674718793481588,0.014916742220520973,0.009258093312382698,1.3293500613504448,0.01963653359510108,21.862529484911967,1775828744.5950677
full_loss_2,full_loss_3,w3.bias,0.9,0.999,0.01,1e-08,1.6093864019239845e-08,1.762760604151481e-07,1.2293457984924316e-07,1.1782168868506813,0.0220645725056494,20.78195594877805,1775828744.5952337
full_loss_2,full_loss_3,bn0.weight,0.9,0.999,0.01,1e-08,0.002818275010213256,0.03484533727169037,0.033051494508981705,0.7674229401111989,0.03000984037861171,18.85366667283173,1775828744.595443
