epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,full_loss_1,1,0.2395944595336914,0.24471955001354218,0.3608438968658447,0.9152402281761169,0.01,0.002395944595336914,2.0021088812086316,68.54424964057074,3.3579780578613283,0.049889790059401556,True
2,full_loss_1,2,0.09557213634252548,0.09694918245077133,0.1447233408689499,0.7255963087081909,0.01,0.0009557213634252548,1.072731367746989,35.69868426852756,1.6252460479736328,0.00016881661463191065,True
3,full_loss_1,3,0.04224693402647972,0.04173898696899414,0.06513456255197525,0.6337930560112,0.01,0.0004224693402647972,1.0102084265814888,34.22663688659668,0.9444739341735839,0.37758359117914203,True
4,full_loss_1,4,0.019788488745689392,0.018189558759331703,0.03412921726703644,0.6938917636871338,0.01,0.00019788488745689392,0.9833327505323622,33.3900023566352,1.121415138244629,0.5984558752449498,True
5,full_loss_1,5,0.011088225990533829,0.008108435198664665,0.027249764651060104,0.6785655617713928,0.01,0.00011088225990533829,0.9831246058146159,32.796773486667206,0.9047903060913086,0.6908999110913634,True
6,full_loss_1,6,0.01128098089247942,0.004782719071954489,0.041320912539958954,1.0208934545516968,0.01,0.0001128098089247942,0.7355618529849582,26.466721640692818,0.722088623046875,0.43245129719231173,True
7,full_loss_1,7,0.015502582304179668,0.006173314526677132,0.05774300545454025,0.9534151554107666,0.01,0.00015502582304179668,0.5824428108003404,16.68863953484429,0.6602669715881347,0.7768269967353408,True
8,full_loss_1,8,0.014172454364597797,0.005655731074512005,0.05427199602127075,1.0366746187210083,0.01,0.00014172454364597798,0.8103151109483507,14.803821033901638,0.8194503784179688,0.7725695947874713,True
9,full_loss_1,9,0.011291577480733395,0.004776842892169952,0.042823996394872665,0.713127076625824,0.01,0.00011291577480733395,0.4959412574768066,13.04517682393392,0.7142427444458008,0.49117878125932823,True
10,full_loss_1,10,0.008338745683431625,0.0035501993261277676,0.03125418722629547,1.2607594728469849,0.005,4.169372841715813e-05,0.46993080774943036,11.343721230824789,0.6775897026062012,0.5852696057041538,True
11,full_loss_1,11,0.009333489462733269,0.003930605016648769,0.03554539754986763,0.9538963437080383,0.005,4.6667447313666345e-05,0.4343943410449558,8.620860894521078,0.5896411895751953,0.92976489041551,True
12,full_loss_1,12,0.008232268504798412,0.0035468812566250563,0.030859248712658882,0.5810542702674866,0.005,4.116134252399206e-05,0.3034916559855143,7.6527138815985785,0.6019134044647216,0.7871419296237083,True
13,full_loss_1,13,0.010548215359449387,0.0040540010668337345,0.040529802441596985,0.7394272685050964,0.005,5.2741076797246936e-05,0.28820362355973983,7.393886778089735,0.6242220401763916,0.9672433343214856,True
14,full_loss_1,14,0.008381965570151806,0.003517420496791601,0.031999558210372925,0.6076221466064453,0.005,4.190982785075903e-05,0.2893131282594469,6.916883971956041,0.5785131454467773,0.7026773126683812,True
15,full_loss_1,15,0.008561897091567516,0.003612617729231715,0.03250788897275925,0.5549188852310181,0.005,4.280948545783758e-05,0.31674088372124565,7.2850051456027565,0.7630270957946778,0.03669654498787,True
16,full_loss_1,16,0.009530728682875633,0.0036118680145591497,0.03715347871184349,0.5751913189888,0.005,4.7653643414378165e-05,0.39702803823682997,6.29220978418986,0.7995671272277832,0.25137204551846165,True
17,full_loss_1,17,0.008436481468379498,0.0037024645134806633,0.03188557177782059,0.4877268075942993,0.005,4.218240734189749e-05,0.33702152172724403,5.837635199228923,0.75162353515625,0.5674920989180205,True
18,full_loss_1,18,0.007679453119635582,0.003505125641822815,0.028603920713067055,0.4173695743083954,0.005,3.839726559817791e-05,0.24374693632125854,4.977236641777886,0.6575887203216553,0.4447097445212047,True
19,full_loss_1,19,0.008028374053537846,0.0036819479428231716,0.029963331297039986,0.39055198431015015,0.005,4.0141870267689226e-05,0.19625860850016277,4.237459897994995,0.7621210098266602,0.839262859451771,True
20,full_loss_1,20,0.008364589884877205,0.0036287480033934116,0.03139698505401611,0.6142283082008362,0.0025,2.0911474712193014e-05,0.2289565298292372,4.655253516303168,0.7113999843597412,0.9348643533971476,True
21,full_loss_1,21,0.008754497393965721,0.0038203324656933546,0.032912854105234146,0.5235393047332764,0.0025,2.1886243484914302e-05,0.2425131056043837,3.99725071589152,0.8118434906005859,0.6214779130063447,True
22,full_loss_1,22,0.010395174846053123,0.0040710666216909885,0.04087788611650467,0.7295445203781128,0.0025,2.5987937115132808e-05,0.18363905880186293,3.5047763453589544,0.7228840827941895,0.9484404740489631,True
23,full_loss_1,23,0.008206136524677277,0.0037129740230739117,0.030598146840929985,0.4963853061199188,0.0025,2.0515341311693192e-05,0.22433718575371636,3.4770387013753257,0.7683902263641358,0.36541641827129806,True
24,full_loss_1,24,0.00844732578843832,0.0037467479705810547,0.031383536756038666,0.6916259527206421,0.0025,2.11183144710958e-05,0.22302451266182793,3.7397343847486706,0.7672379970550537,0.35727411634284495,True
25,full_loss_1,25,0.010343180038034916,0.004335333593189716,0.03963777422904968,0.7513518333435059,0.0025,2.585795009508729e-05,0.19118238422605727,3.523981703652276,0.7563531398773193,0.747162410958124,True
26,full_loss_1,26,0.009050861932337284,0.004048599395900965,0.03393721953034401,0.6306558847427368,0.0025,2.262715483084321e-05,0.2141932355033027,3.3030809031592474,0.7956857681274414,0.347806999039539,True
27,full_loss_1,27,0.010573879815638065,0.004330841358751059,0.04136546701192856,0.4937282204627991,0.0025,2.6434699539095163e-05,0.18361254003312852,3.152265601687961,0.8097480773925781,0.9185331116627528,True
28,full_loss_1,28,0.011024001985788345,0.004529146011918783,0.04254942387342453,0.6020810604095459,0.0025,2.7560004964470865e-05,0.2770227352778117,3.783811993069119,0.7260882377624511,-0.3969355936720727,True
29,full_loss_1,29,0.009566651657223701,0.0041582100093364716,0.036282945424318314,0.570262610912323,0.0025,2.3916629143059254e-05,0.23155377308527628,3.1947062810262046,0.8010471343994141,0.6827586020051728,True
30,full_loss_1,30,0.012030132114887238,0.004890011623501778,0.04628283530473709,0.6212682723999023,0.00125,1.5037665143609047e-05,0.19082957241270276,2.9948339727189808,0.8314395904541015,0.7917212512152901,True
31,full_loss_1,31,0.010502899065613747,0.004185103345662355,0.04042435064911842,0.6044617891311646,0.00125,1.3128623832017184e-05,0.1706352882915073,3.1594721608691745,0.799891185760498,0.39343471480474496,True
32,full_loss_1,32,0.00853219348937273,0.003906893543899059,0.031529396772384644,0.860912561416626,0.00125,1.0665241861715912e-05,0.1499077061812083,2.865632030698988,0.7915822982788085,0.2402036245155595,True
