epoch_in_phase,loss_boundary,loss_full
1,0.017286789789795875,0.6689498424530029
2,0.38870357871055605,0.7269406914710999
3,0.31883005797863007,0.7164236903190613
4,0.17457554936408998,0.6905508637428284
5,0.10965472757816315,0.6758753657341003
6,0.15007347464561463,0.6698318719863892
7,0.13430944383144378,0.6588341593742371
8,0.09202177599072456,0.647071361541748
9,0.09297739267349243,0.6371695399284363
10,0.10324856787919998,0.6319952011108398
11,0.08932940438389778,0.6285145282745361
12,0.07079376205801964,0.621415376663208
13,0.06661155447363853,0.6167676448822021
14,0.07383417710661888,0.6124868392944336
15,0.06636864952743053,0.6089746356010437
16,0.05683869458734989,0.6084045171737671
17,0.04758378490805626,0.6078728437423706
18,0.05509050749242306,0.6075451374053955
19,0.04919915720820427,0.6028769016265869
20,0.045046888291835785,0.5961242318153381
21,0.038243981823325154,0.5932998657226562
22,0.0391099538654089,0.5924091935157776
23,0.03963406644761562,0.5936817526817322
24,0.031192936562001707,0.5906884670257568
25,0.030092994682490826,0.5889646410942078
26,0.03479619100689888,0.5871036052703857
27,0.03411193806678057,0.585391640663147
28,0.027785596810281275,0.5836337804794312
29,0.02589327972382307,0.5818457007408142
30,0.032555647939443585,0.5797788500785828
31,0.02319813407957554,0.5795423984527588
32,0.027648930065333845,0.5803021192550659
33,0.022292107716202735,0.5788126587867737
34,0.022072456032037734,0.5769315361976624
35,0.019688976742327214,0.5770568251609802
36,0.02508457861840725,0.5771702527999878
37,0.01844248054549098,0.5746518969535828
38,0.019497859850525857,0.574142575263977
39,0.020293621346354485,0.577254593372345
40,0.022247297503054143,0.5766494274139404
41,0.02483205497264862,0.5746836066246033
42,0.020937460847198962,0.5735520720481873
43,0.03165529724210501,0.5735952854156494
44,0.01913676718249917,0.5741488933563232
45,0.030194043554365634,0.5738463997840881
46,0.029804936982691287,0.5729892253875732
47,0.02773595731705427,0.5704591274261475
48,0.03372675478458405,0.568191409111023
49,0.020699188765138387,0.5690579414367676
50,0.02728588618338108,0.5699275732040405
51,0.030464118532836437,0.5695154070854187
52,0.023200704343616964,0.5670731067657471
53,0.02725580595433712,0.567064642906189
54,0.03705212101340294,0.5664721131324768
55,0.016659516654908658,0.5663277506828308
56,0.048336620815098284,0.5678035020828247
57,0.053866124153137206,0.5666977763175964
58,0.023525092750787735,0.5654770135879517
59,0.03189184498041868,0.5659164190292358
60,0.04130125194787979,0.5664732456207275
61,0.03070625364780426,0.5659434795379639
62,0.021291958540678023,0.5630189776420593
63,0.024717573635280134,0.5625044703483582
64,0.02605409426614642,0.5656688809394836
65,0.0169480262324214,0.5646607279777527
66,0.02211349308490753,0.5645268559455872
67,0.019450068287551404,0.5622289180755615
68,0.01637592976912856,0.5628051161766052
69,0.019216211792081595,0.5619020462036133
70,0.02156327646225691,0.563194990158081
71,0.021782375499606134,0.5626895427703857
72,0.015708272252231835,0.5626391172409058
73,0.0199772696942091,0.560253381729126
74,0.021039475593715905,0.5612091422080994
75,0.018505524098873138,0.5603650808334351
76,0.01736134961247444,0.5613833069801331
77,0.019803443644195794,0.5637714266777039
78,0.01919861016795039,0.5615269541740417
79,0.02586558312177658,0.5596967339515686
80,0.015397385600954295,0.5595248341560364
81,0.016663812473416327,0.5616850256919861
82,0.015755323972553015,0.5613691806793213
83,0.01914128251373768,0.562374472618103
84,0.016271899361163376,0.5601730346679688
85,0.016625348664820194,0.5613179802894592
86,0.02204793207347393,0.5615573525428772
87,0.017561165057122706,0.560990571975708
88,0.015081683173775673,0.5584761500358582
89,0.020530124194920063,0.5602328181266785
90,0.020105107314884664,0.5595882534980774
91,0.021801937371492386,0.5599800944328308
92,0.027602021396160126,0.5616822838783264
93,0.0177075507119298,0.5577086210250854
94,0.02480121571570635,0.558867871761322
95,0.024519954435527326,0.5602558255195618
96,0.027478799037635327,0.5588904023170471
97,0.02112483633682132,0.5589504241943359
98,0.03710030987858772,0.5596941709518433
99,0.022560411598533392,0.5575864315032959
100,0.016870886087417603,0.557759702205658
