epoch_in_phase,loss_boundary,loss_full,loss_res
1,0.032730764150619505,0.05678734555840492,0.054318872094154355
2,0.27331391870975497,0.2821636199951172,4.225960421562195
3,0.24580802023410797,0.26341137290000916,1.4114046454429627
4,0.1704975351691246,0.2589056193828583,1.2679400444030762
5,0.14125256165862082,0.22791865468025208,1.0106498718261718
6,0.1375312626361847,0.19896768033504486,0.8170785367488861
7,0.12757967561483383,0.16198986768722534,0.41436471343040465
8,0.10043659061193466,0.12693321704864502,0.5550016343593598
9,0.07901608869433403,0.10831235349178314,0.5599166035652161
10,0.06830956302583217,0.09974204003810883,0.3576475441455841
11,0.07475002072751522,0.09297855198383331,0.32749803364276886
12,0.06049017421901226,0.08399154245853424,0.2998890310525894
13,0.0561760101467371,0.08010786771774292,0.21921118944883347
14,0.05283659733831882,0.07543472200632095,0.2044711008667946
15,0.04598076157271862,0.06978069245815277,0.2075104758143425
16,0.046913613379001615,0.07402265071868896,0.17619110899977386
17,0.043637408316135405,0.07115344703197479,0.12297434478532523
18,0.03529407549649477,0.05987527221441269,0.1298686146736145
19,0.03505558352917433,0.06476394832134247,0.12741882503032684
20,0.036070240288972856,0.06409841030836105,0.10536015555262565
21,0.035847035236656666,0.05701252818107605,0.0938970074057579
22,0.033263963833451274,0.054833993315696716,0.09083081781864166
23,0.03282348569482565,0.05831822007894516,0.06246451670303941
24,0.03281126171350479,0.05976453050971031,0.049155018478631976
25,0.03313495982438326,0.06620050221681595,0.040021257649641484
26,0.028853142634034157,0.05242922157049179,0.05411291047930718
27,0.028706717677414416,0.0525657944381237,0.04034543237648904
28,0.026995785348117352,0.05114229768514633,0.04003044255077839
29,0.02755269277840853,0.06516339629888535,0.024579551623901352
30,0.03119878061115742,0.06587245315313339,0.026207841391442343
31,0.0277880335226655,0.05473600700497627,0.0346678108908236
32,0.024752666242420673,0.04826068878173828,0.036475545540452
33,0.024080437794327735,0.06019224599003792,0.031330756610259414
34,0.022033562138676643,0.05635042488574982,0.03426596882054582
35,0.023173937387764455,0.06115344166755676,0.021022824867395686
36,0.02115335753187537,0.04861534386873245,0.022979703242890538
37,0.02555993841961026,0.06867782771587372,0.015911452751606703
38,0.02806907193735242,0.073086678981781,0.019951772439526394
39,0.020195943675935267,0.05460236966609955,0.020671215472975745
40,0.021011634822934867,0.05942070856690407,0.01827893382869661
41,0.01831631166860461,0.048412445932626724,0.023696587700396777
42,0.022045846655964853,0.06621535122394562,0.0176821204891894
43,0.018686885386705397,0.05698757618665695,0.01954839184181765
44,0.016839294880628585,0.05221637710928917,0.01663386692525819
45,0.01992058726027608,0.05713999643921852,0.019916797732003035
46,0.0195608614012599,0.050030387938022614,0.022752021451015025
47,0.017715243529528378,0.05316086858510971,0.01715984777547419
48,0.02032125908881426,0.06382112950086594,0.013156639609951526
49,0.02300447355955839,0.061753083020448685,0.019291121780406685
50,0.02105231024324894,0.05046272650361061,0.0242333299247548
51,0.02172104474157095,0.0632510557770729,0.017303912877105178
52,0.02056560628116131,0.05268729850649834,0.01863359184935689
53,0.05800091251730919,0.13343022763729095,0.01192459991434589
54,0.017363649513572454,0.05201755836606026,0.017409540177322925
55,0.019302737340331076,0.04927639290690422,0.01977519984357059
56,0.016724469792097806,0.04958449676632881,0.015838616725523023
57,0.019821743853390215,0.0659235492348671,0.013417518656933681
