epoch_in_phase,train_bd,train_full,test_full,test_step,train_res
1,0.04533115157391876,0.12176856771111488,0.11004248261451721,0.09522312246263027,0.061571928492048754
2,0.04533190908259712,0.12176771368831396,0.11004307866096497,0.09522372800856829,0.061569600581424314
3,0.04533317243913189,0.12176697235554457,0.11004345864057541,0.09522418286651373,0.06156670321943238
4,0.04533426447887905,0.12176608014851809,0.110043466091156,0.09522433206439018,0.061563444911735134
5,0.04533539125113748,0.12176489550620317,0.11004416644573212,0.09522504173219204,0.06156062787631526
6,0.045336633955594154,0.12176401540637016,0.11004497110843658,0.09522587191313506,0.06155771423364058
7,0.04533795102615841,0.12176370527595282,0.11004649102687836,0.09522728249430656,0.061554649838944896
8,0.04533905080752447,0.12176262307912111,0.11004626005887985,0.09522720351815224,0.06155108984094113
9,0.04534072406531777,0.12176088988780975,0.11004555225372314,0.0952268086373806,0.061547628877451646
10,0.04534193890867755,0.12175959162414074,0.11004741489887238,0.09522852171212434,0.06154456998337991
11,0.045343765706638804,0.12175910174846649,0.11004920303821564,0.09523012526333333,0.06154119753628038
12,0.04534524992923252,0.12175880558788776,0.11005060374736786,0.09523146357387305,0.0615381633862853
13,0.0453462301811669,0.12175667099654675,0.1100502461194992,0.09523126743733883,0.06153501837980002
14,0.045347080024657774,0.12175585236400366,0.11004972457885742,0.09523098841309548,0.06153196510858834
15,0.045348410721635445,0.12175505142658949,0.11005067825317383,0.09523190222680569,0.06152897656429559
16,0.045349693956086415,0.12175418343394995,0.11005161702632904,0.09523285441100597,0.0615257999044843
17,0.04535094699822366,0.12175250519067049,0.11005191504955292,0.09523322731256485,0.061522687727119774
18,0.045352056197589266,0.12175187468528748,0.11005273461341858,0.09523404203355312,0.06151990545913577
19,0.045353788079228255,0.12175206560641527,0.11005542427301407,0.09523651730269193,0.0615164078772068
20,0.04535515127936378,0.12175106443464756,0.1100553572177887,0.09523657280951739,0.061513113125693054
21,0.045356081431964415,0.1217503109946847,0.11005562543869019,0.09523683190345764,0.06151109349448234
22,0.045356468710815535,0.12175002042204142,0.11005589365959167,0.09523709081113338,0.061510309803998096
23,0.04535685464506969,0.12174952309578657,0.11005589365959167,0.09523712545633316,0.06150917710037902
24,0.045357152575161305,0.12174944765865803,0.11005602777004242,0.09523727372288704,0.0615082185366191
25,0.04535750664654188,0.12174924090504646,0.11005625873804092,0.09523750972002745,0.06150744132464751
